구분,01/02,01/03,01/04,01/05,01/08,01/09,01/10,01/11,01/12,01/15,01/16,01/17,01/18,01/19,01/22,01/23,01/24,01/25,01/26,01/29,01/30,01/31,02/01,02/02,02/05,02/06,02/07,02/08,02/09,02/12,02/13,02/14,02/19,02/20,02/21,02/22,02/23,02/26,02/27,02/28,03/02,03/05,03/06,03/07,03/08,03/09,03/12,03/13,03/14,03/15,03/16,03/19,03/20,03/21,03/22,03/23,03/26,03/27,03/28,03/29,03/30,04/02,04/03,04/04,04/05,04/06,04/09,04/10,04/11,04/12,04/13,04/16,04/17,04/18,04/19,04/20,04/23,04/24,04/25,04/26,04/27,04/30,05/02,05/03,05/04,05/08,05/09,05/10,05/11,05/14,05/15,05/16,05/17,05/18,05/21,05/23,05/24,05/25,05/28,05/29,05/30,05/31,06/01,06/04,06/05,06/07,06/08,06/11,06/12,06/14,06/15,06/18,06/19,06/20,06/21,06/22,06/25,06/26,06/27,06/28,06/29,07/02,07/03,07/04,07/05,07/06,07/09,07/10,07/11,07/12,07/13,07/16,07/17,07/18,07/19,07/20,07/23,07/24,07/25,07/26,07/27,07/30,07/31,08/01,08/02,08/03,08/06,08/07,08/08,08/09,08/10,08/13,08/14,08/16,08/17,08/20,08/21,08/22,08/23,08/24,08/27,08/28,08/29,08/30,08/31,09/03,09/04,09/05,09/06,09/07,09/10,09/11,09/12,09/13,09/14,09/17,09/18,09/19,09/20,09/21,09/27,09/28,10/01,10/02,10/04,10/05,10/08,10/10,10/11,10/12,10/15,10/16,10/17,10/18,10/19,10/22,10/23,10/24,10/25,10/26,10/29,10/30,10/31,11/01,11/02,11/05,11/06,11/07,11/08,11/09,11/12,11/13,11/14,11/15,11/16,11/19,11/20,11/21,11/22,11/23,11/26,11/27,11/28,11/29,11/30,12/03,12/04,12/05,12/06,12/10,12/11,12/12,12/13,12/14,12/17,12/18,12/19,12/20,12/21,12/24,12/26,12/27,12/28,12/31
평균,22800,22800,23400,23600,26200,26800,28400,28600,31800,33400,34400,34600,34600,34600,34200,34600,34200,32200,31800,32600,33600,33600,33600,35200,37800,39200,37200,36200,37400,37400,36600,37200,31200,29400,27600,25800,25600,25400,25200,25000,25400,27400,27400,27800,28400,33200,35000,36200,36400,34200,33400,29600,27000,27000,28400,31200,30800,29800,28400,27000,26200,20400,18800,18200,18000,19600,19200,20600,21800,21800,19800,18400,19400,18600,19800,21000,19000,18800,18200,18000,18400,18800,16800,16400,15700,15700,16400,16800,17000,16400,16200,16200,15600,15600,18000,24200,24200,27600,24800,24800,24800,19800,18400,15600,15600,14600,13600,12800,12800,13800,14400,13400,12800,12400,11700,12000,11400,11200,11800,11800,11000,11600,12400,14600,14200,14600,15600,18000,17800,16000,16000,13000,11400,11000,10600,10000,9400,9400,8600,8000,7932,9132,9932,10600,13800,16800,17200,18800,18600,19000,20400,20200,19400,21400,21600,23600,24000,27000,28800,30800,25800,24200,27400,29000,30600,34200,36400,38800,40800,43000,47400,47600,43400,39600,34400,28000,25000,24000,23600,21400,19800,17200,15400,14600,15600,16600,15400,14400,15000,15400,15600,17000,16800,17800,19000,20000,20400,20200,19400,19600,20600,23000,26000,29000,29200,30600,28200,25600,23200,23000,24400,24000,25800,26200,25000,25000,22800,22400,23000,22400,23400,24000,23800,23600,22800,22400,22200,22800,22800,21400,21400,21400,23000,25000,24600,24800,24800,23800,25000,23800,23600,24000,23600,23400
평년,25410,25270,25327,25560,26290,26493,26837,26923,26893,29033,29690,29930,30193,30637,32193,32447,32503,32897,33093,33427,33930,34110,34110,34453,34333,34120,34310,34157,34030,33067,31987,31397,28773,28277,28370,28247,27870,26027,25947,25810,25893,25900,25867,25877,25810,25907,25550,25217,24927,24693,24540,24043,23700,23310,23023,22553,20790,20457,20033,19620,19023,17733,17720,17563,17337,17507,18760,18440,17840,17533,17433,16007,15620,15253,14890,14747,14107,13960,13813,13803,13650,12820,12550,12350,12187,11690,11613,11440,11365,11343,11257,11307,11467,11587,11543,11580,11507,11433,10947,10973,10987,11003,11003,11417,11543,11813,12187,13017,12910,13657,13860,14140,13727,13503,13510,13427,12687,12780,12600,12387,12400,12533,12290,12373,12533,12767,12873,12923,13630,14590,14990,16603,17587,17850,17543,17223,16387,16167,15927,15843,15890,17877,19323,20153,20583,22233,23580,22640,21523,20777,19370,17127,16873,16843,16753,16533,16160,16093,16150,16377,20133,20827,22240,24213,25773,26867,26893,26200,25977,25827,25563,24413,22870,21680,21010,19880,19530,19380,19393,19397,15043,14187,12903,12770,12653,12597,13270,13423,13703,13843,15323,16227,17213,17913,17933,16090,15970,15900,15620,15490,15840,16013,16220,16287,16347,18153,18533,18683,18653,18403,17857,18043,18017,17670,17530,17843,18070,18020,17967,17983,17373,17320,17347,17507,17687,18413,18720,19000,19233,19690,19973,20600,21140,21523,23370,24167,24887,25300,25303,24747,24617,24787,25017,24603
서울,21000,22000,23000,23000,28000,28000,28000,28000,30000,33000,33000,33000,33000,33000,33000,33000,33000,30000,30000,32000,32000,32000,32000,35000,38000,40000,38000,36000,38000,38000,35000,37000,30000,27000,25000,23000,23000,26000,24000,24000,26000,29000,27000,27000,30000,38000,36000,36000,36000,34000,34000,28000,27000,27000,30000,35000,33000,30000,26000,24000,24000,20000,20000,18000,18000,20000,20000,21000,20000,20000,20000,18000,18000,18000,18000,20000,18000,17000,17000,17000,20000,20000,16000,16000,15000,15000,16000,16000,16000,14000,15000,15000,15000,15000,20000,28000,25000,25000,25000,25000,25000,20000,16000,14000,15000,14000,12000,12000,12000,16000,16000,14000,12000,11000,11000,11000,11000,11000,11000,11000,10000,11000,13000,15000,13000,13000,15000,17000,15000,13000,13000,10000,10000,10000,10000,10000,9000,9000,9000,8000,8000,9000,10000,12000,13000,20000,20000,22000,23000,20000,23000,20000,20000,22000,24000,25000,25000,25000,25000,28000,27000,27000,27000,30000,30000,28000,30000,33000,38000,41000,41000,38000,33000,28000,25000,21000,18000,20000,22000,18000,15000,13000,13000,13000,13000,13000,13000,14000,14000,14000,14000,17000,15000,15000,18000,18000,18000,18000,18000,18000,21000,27000,29000,29000,29000,27000,25000,23000,20000,22000,22000,22000,22000,24000,24000,22000,20000,20000,20000,20000,23000,23000,23000,23000,23000,23000,21000,21000,22000,22000,22000,22000,25000,28000,26000,26000,26000,26000,26000,24000,24000,24000,22000,24000
부산,20000,20000,22000,22000,24000,24000,24000,25000,26000,31000,31000,32000,32000,32000,32000,32000,32000,30000,30000,30000,32000,32000,32000,32000,36000,38000,36000,36000,37000,37000,36000,36000,31000,30000,27000,25000,25000,25000,25000,25000,25000,28000,28000,28000,28000,32000,35000,36000,36000,31000,31000,27000,24000,25000,26000,28000,28000,28000,28000,26000,23000,20000,18000,17000,16000,18000,18000,20000,20000,20000,20000,18000,18000,18000,18000,19000,18000,18000,18000,18000,18000,18000,16000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000,15000,17000,24000,24000,24000,20000,20000,20000,18000,18000,15000,15000,14000,13000,12000,12000,12000,12000,12000,12000,12000,12000,12000,10000,10000,10000,10000,9000,10000,12000,15000,13000,13000,15000,17000,17000,17000,17000,14000,12000,11000,11000,10000,9000,9000,8000,8000,8000,9000,9000,10000,12000,13000,13000,14000,15000,15000,17000,18000,18000,18000,17000,20000,20000,25000,27000,29000,24000,22000,28000,28000,30000,32000,33000,35000,35000,38000,45000,45000,41000,40000,34000,27000,25000,23000,23000,22000,22000,17000,15000,15000,16000,17000,16000,14000,14000,14000,15000,17000,17000,17000,17000,18000,19000,19000,19000,19000,20000,21000,23000,28000,28000,28000,28000,25000,22000,22000,24000,24000,27000,27000,25000,25000,22000,22000,22000,22000,23000,23000,22000,22000,21000,21000,21000,21000,21000,20000,20000,20000,21000,24000,24000,24000,24000,23000,23000,23000,22000,22000,22000,22000
대구,25000,25000,25000,25000,27000,25000,30000,30000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33000,33000,35000,35000,35000,35000,35000,38000,40000,35000,35000,36000,36000,36000,36000,30000,30000,27000,25000,25000,25000,25000,25000,25000,30000,28000,27000,27000,28000,33000,34000,36000,35000,33000,30000,25000,27000,25000,28000,28000,27000,27000,26000,26000,21000,18000,18000,18000,20000,18000,20000,24000,24000,18000,17000,20000,18000,21000,22000,20000,19000,18000,18000,18000,19000,17000,17000,15500,15500,16000,18000,18000,18000,18000,18000,15000,16000,16000,22000,22000,32000,28000,28000,28000,23000,23000,18000,18000,17000,16000,14000,14000,13000,13000,13000,13000,13000,11500,12000,12000,12000,13000,13000,12000,12000,12000,15000,15000,15000,16000,21000,21000,17000,17000,15000,12000,12000,10000,9000,10000,10000,9000,9000,8000,8000,9000,9000,18000,18000,18000,18000,18000,19000,20000,22000,18000,18000,17000,20000,22000,30000,33000,33000,22000,20000,24000,26000,26000,38000,38000,40000,42000,43000,55000,55000,50000,50000,43000,30000,30000,30000,26000,23000,23000,19000,15000,15000,18000,18000,18000,15000,18000,17000,18000,18000,18000,20000,20000,21000,22000,23000,22000,21000,21000,22000,26000,29000,29000,35000,28000,24000,24000,24000,24000,23000,27000,27000,26000,26000,26000,24000,25000,23000,23000,25000,25000,25000,23000,23000,23000,23000,23000,21000,21000,21000,23000,24000,24000,24000,24000,23000,24000,22000,24000,22000,22000,22000
광주,23000,23000,23000,23000,25000,27000,29000,29000,35000,35000,35000,35000,35000,35000,35000,35000,33000,30000,30000,30000,32000,32000,32000,35000,37000,37000,35000,35000,36000,36000,36000,37000,32000,30000,29000,27000,26000,25000,25000,24000,24000,24000,27000,28000,28000,29000,32000,36000,37000,36000,35000,33000,30000,28000,30000,33000,31000,30000,28000,28000,26000,20000,18000,18000,18000,19000,18000,20000,22000,21000,19000,18000,20000,19000,20000,21000,20000,19000,18000,18000,17000,19000,17000,16000,15000,15000,16000,16000,17000,17000,15000,15000,15000,15000,16000,17000,20000,27000,25000,25000,25000,20000,17000,15000,14000,13000,12000,12000,12000,13000,15000,15000,14000,13000,11000,12000,12000,12000,12000,12000,11000,12000,12000,14000,14000,15000,17000,20000,20000,17000,16000,12000,11000,11000,12000,10000,9000,11000,9000,8000,8000,12000,12000,12000,14000,18000,17000,20000,18000,23000,24000,22000,20000,25000,27000,29000,29000,30000,32000,34000,29000,27000,29000,30000,32000,36000,39000,42000,45000,48000,46000,50000,48000,40000,35000,30000,25000,23000,23000,22000,20000,18000,17000,16000,17000,18000,15000,14000,14000,16000,16000,17000,18000,19000,20000,22000,23000,21000,20000,18000,19000,21000,23000,28000,29000,30000,30000,28000,25000,24000,25000,24000,26000,26000,25000,26000,22000,22000,24000,23000,24000,25000,25000,24000,23000,22000,23000,24000,23000,21000,21000,21000,23000,24000,24000,24000,24000,23000,24000,22000,23000,24000,24000,24000
대전,25000,24000,24000,25000,27000,30000,31000,31000,33000,33000,38000,38000,38000,38000,36000,38000,38000,38000,36000,36000,37000,37000,37000,39000,40000,41000,42000,39000,40000,40000,40000,40000,33000,30000,30000,29000,29000,26000,27000,27000,27000,26000,27000,29000,29000,39000,39000,39000,37000,35000,34000,30000,29000,28000,31000,32000,34000,34000,33000,31000,32000,21000,20000,20000,20000,21000,22000,22000,23000,24000,22000,21000,21000,20000,22000,23000,19000,21000,20000,19000,19000,18000,18000,18000,18000,18000,18000,18000,18000,17000,17000,17000,17000,17000,21000,30000,30000,30000,26000,26000,26000,18000,18000,16000,16000,15000,15000,14000,14000,15000,16000,13000,13000,13000,13000,13000,12000,11000,13000,13000,13000,13000,13000,14000,16000,17000,15000,15000,16000,16000,17000,14000,12000,11000,10000,11000,10000,8000,8000,7000,7660,7660,9660,10000,12000,15000,18000,20000,19000,18000,18000,19000,21000,24000,23000,24000,24000,25000,27000,30000,27000,25000,29000,31000,35000,37000,42000,44000,44000,45000,50000,50000,45000,40000,35000,32000,27000,24000,24000,22000,19000,19000,17000,14000,14000,17000,15000,15000,15000,16000,15000,16000,16000,18000,20000,21000,20000,20000,18000,22000,22000,24000,29000,31000,31000,33000,30000,28000,25000,23000,27000,27000,27000,27000,25000,26000,24000,24000,24000,24000,24000,24000,24000,24000,24000,23000,23000,25000,25000,23000,23000,23000,23000,25000,25000,26000,26000,24000,28000,28000,25000,28000,28000,25000
