구분,01/02,01/05,01/06,01/07,01/08,01/09,01/12,01/13,01/14,01/15,01/16,01/19,01/20,01/21,01/22,01/23,01/26,01/27,01/28,01/29,01/30,02/02,02/03,02/04,02/05,02/06,02/09,02/10,02/11,02/12,02/13,02/16,02/17,02/23,02/24,02/25,02/26,02/27,03/02,03/03,03/04,03/05,03/06,03/09,03/10,03/11,03/12,03/13,03/16,03/17,03/18,03/19,03/20,03/23,03/24,03/25,03/26,03/27,03/30,03/31,04/01,04/02,04/03,04/06,04/07,04/08,04/09,04/10,04/13,04/14,04/15,04/16,04/17,04/20,04/21,04/22,04/23,04/24,04/27,04/28,04/29,04/30,05/04,05/06,05/07,05/08,05/11,05/12,05/13,05/14,05/15,05/18,05/19,05/20,05/21,05/22,05/26,05/27,05/28,05/29,06/01,06/02,06/03,06/04,06/05,06/08,06/09,06/10,06/11,06/12,06/15,06/16,06/17,06/18,06/19,06/22,06/23,06/24,06/25,06/26,06/29,06/30,07/01,07/02,07/03,07/06,07/07,07/08,07/09,07/10,07/13,07/14,07/15,07/16,07/17,07/20,07/21,07/22,07/23,07/24,07/27,07/28,07/29,07/30,07/31,08/03,08/04,08/05,08/06,08/07,08/10,08/11,08/12,08/13,08/17,08/18,08/19,08/20,08/21,08/24,08/25,08/26,08/27,08/28,08/31,09/01,09/02,09/03,09/04,09/07,09/08,09/09,09/10,09/11,09/14,09/15,09/16,09/17,09/18,09/21,09/22,09/23,09/24,09/25,09/30,10/01,10/02,10/05,10/06,10/07,10/08,10/12,10/13,10/14,10/15,10/16,10/19,10/20,10/21,10/22,10/23,10/26,10/27,10/28,10/29,10/30,11/02,11/03,11/04,11/05,11/06,11/09,11/10,11/11,11/12,11/13,11/16,11/17,11/18,11/19,11/20,11/23,11/24,11/25,11/26,11/27,11/30,12/01,12/02,12/03,12/07,12/08,12/09,12/10,12/11,12/14,12/15,12/16,12/17,12/18,12/21,12/22,12/23,12/24,12/28,12/29,12/30,12/31
평균,25200,25200,25800,25600,26000,25600,25200,25000,25200,25200,25400,27200,29200,31200,30800,31400,32200,32200,33200,33200,34400,36600,37800,38800,39200,38600,38400,37400,36600,37000,37000,37400,36400,28800,27200,27200,25600,24600,24400,24600,24400,24600,25600,24000,24000,24000,23000,23200,22600,22800,22800,22800,23000,22200,21000,20000,19800,19800,18600,18200,17600,17000,17000,18400,19800,21400,24400,26200,24200,23000,22200,21600,21600,19400,18800,18800,18200,17400,15000,14400,13600,12400,11600,10600,11800,11800,11200,11200,11200,11200,11200,10600,10600,11000,11000,11400,10800,10800,9800,9000,8200,8200,8400,9000,9400,9800,9800,9800,9600,9800,10400,10400,10400,11000,11600,12200,12600,12600,12600,12800,14200,13800,13000,13400,13000,12400,12400,11600,11000,10800,10200,9800,9800,10400,11000,14000,15600,16000,16200,15200,15000,15600,15800,17000,17600,24400,28200,29000,27600,26600,19400,17800,15200,13800,11000,10800,10800,10600,9200,9800,11800,13600,13800,14000,16200,15800,15600,16600,16800,16200,15600,15800,16600,15400,15800,17000,17000,16800,17600,16600,16000,15200,14000,13200,12000,10600,10400,9400,11200,12400,13600,13200,13400,13800,14600,15400,15000,14600,14000,13000,12600,13000,14200,15200,15600,15600,15800,16800,17000,17600,18200,18400,16400,16000,17200,17800,20400,20000,20200,20200,21800,23200,26600,28200,30400,30400,31800,32000,32400,33400,33000,33000,33000,28600,28200,26600,26200,25800,27000,27000,27000,26800,26400,25600,25000,25600,24600,24600
평년,22477,24393,25237,25713,25913,26040,26133,26503,27053,27390,27733,29210,30017,30783,31233,31473,32560,32000,31457,31147,31113,29910,30013,29757,29303,29193,29193,29440,29700,30193,30477,29907,29923,27950,27623,27323,27280,27250,27507,27923,28773,29333,29437,29270,28993,28627,28350,28137,26873,26687,26530,26263,25930,24970,24583,24077,23527,23087,21863,21637,21467,21237,21137,20783,20673,20540,20080,19513,17940,17410,17087,16587,16080,15227,15073,14910,14767,14773,14977,14980,14963,14837,14040,13693,13447,13227,12685,12682,12643,12513,12320,12003,11917,11847,11793,11833,12070,12390,12787,13530,13963,13750,13680,13373,13320,13097,13080,13197,13173,12920,13313,13107,12987,12763,12537,12077,12233,12273,12148,11982,11827,11603,11320,10987,10757,10893,11127,11373,11867,12417,15043,15023,15247,16053,16590,16620,16450,16387,16093,15797,15373,15160,14707,14343,14347,15577,16373,17440,17800,17520,17447,17763,18227,18560,19127,19550,20373,20973,22423,28577,28520,27760,27650,28100,26120,26133,26667,27070,27073,28663,29010,28973,29383,28903,26943,25967,24997,23833,23257,22063,22110,22100,21737,21377,19253,18830,18490,16953,16057,15970,15577,14300,14257,14693,15440,16063,17110,17173,17280,17290,17357,18063,18223,18150,18107,18443,19637,20047,20500,21067,21540,22470,23090,23563,23580,23657,23317,22893,22520,22173,21953,21387,21120,20853,20493,20287,19007,18790,18960,19070,19900,20187,20507,20760,21003,21793,22050,22723,23480,24227,25207,25450,25573,25523,24927,24843,24547,24220
서울,26000,25000,25000,25000,25000,25000,25000,25000,26000,26000,26000,28000,28000,29000,29000,29000,31000,31000,33000,33000,35000,35000,38000,38000,39000,39000,40000,37000,36000,36000,36000,35000,35000,30000,28000,28000,25000,23000,23000,23000,22000,24000,26000,24000,23000,23000,23000,24000,21000,22000,22000,22000,23000,23000,21000,21000,21000,21000,17000,17000,17000,17000,17000,20000,22000,22000,24000,28000,24000,24000,24000,24000,24000,20000,18000,18000,15000,15000,13000,13000,11000,11000,11000,11000,12000,12000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,8000,8000,7000,7000,7000,9000,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,12000,11000,11000,11000,11000,11000,13000,13000,12000,12000,10000,10000,10000,9000,9000,9000,8000,8000,8000,8000,10000,13000,17000,17000,16000,12000,12000,15000,14000,16000,17000,25000,28000,32000,25000,24000,16000,14000,12000,12000,9000,9000,9000,9000,7000,7000,10000,14000,12000,13000,15000,15000,14000,14000,14000,14000,14000,15000,15000,14000,16000,16000,16000,16000,16000,16000,16000,14000,12000,10000,10000,8000,8000,8000,11000,12000,12000,12000,13000,13000,13000,13000,13000,13000,13000,11000,11000,14000,16000,16000,18000,18000,18000,18000,18000,18000,18000,18000,15000,13000,17000,17000,20000,20000,20000,20000,22000,24000,26000,26000,32000,32000,36000,36000,36000,36000,36000,36000,36000,27000,27000,25000,25000,25000,28000,28000,28000,28000,28000,28000,28000,28000,25000,25000
부산,25000,25000,25000,25000,27000,25000,24000,24000,24000,24000,24000,26000,28000,30000,30000,30000,31000,31000,33000,33000,33000,35000,37000,37000,37000,37000,38000,37000,35000,35000,35000,35000,34000,30000,27000,27000,25000,24000,24000,24000,24000,24000,24000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,21000,21000,21000,21000,21000,21000,19000,17000,17000,19000,21000,22000,27000,27000,25000,23000,21000,21000,21000,19000,19000,19000,19000,18000,13000,12000,11000,11000,11000,10000,11000,11000,11000,11000,11000,11000,11000,10000,10000,10000,10000,12000,10000,10000,9000,9000,8000,8000,8000,9000,9000,10000,10000,10000,10000,10000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,10000,10000,10000,10000,9000,9000,11000,11000,15000,15000,15000,15000,14000,14000,14000,15000,15000,15000,19000,23000,23000,23000,23000,18000,16000,15000,14000,10000,10000,10000,9000,8000,10000,12000,14000,14000,14000,16000,16000,16000,18000,19000,16000,15000,15000,15000,14000,14000,17000,17000,16000,18000,17000,16000,14000,13000,13000,13000,12000,12000,10000,12000,13000,15000,15000,15000,15000,17000,17000,15000,14000,13000,13000,13000,12000,13000,14000,14000,14000,14000,16000,17000,17000,18000,18000,16000,16000,16000,17000,19000,18000,18000,18000,19000,22000,27000,29000,29000,29000,32000,30000,30000,32000,32000,32000,32000,28000,28000,28000,26000,26000,28000,28000,28000,25000,24000,23000,23000,25000,23000,23000
대구,25000,25000,25000,25000,25000,25000,25000,24000,24000,24000,24000,25000,28000,28000,28000,30000,31000,31000,32000,32000,34000,37000,37000,38000,40000,40000,40000,38000,37000,39000,39000,39000,39000,30000,28000,28000,28000,26000,26000,26000,26000,26000,26000,26000,26000,26000,24000,24000,23000,23000,23000,22000,22000,21000,21000,20000,20000,20000,19000,19000,18000,17000,17000,17000,18000,20000,22000,24000,23000,23000,23000,22000,22000,20000,19000,19000,19000,19000,19000,19000,19000,14000,12000,10000,12000,12000,11000,11000,11000,11000,11000,11000,11000,12000,12000,12000,12000,12000,11000,9000,9000,9000,9000,9000,9000,9000,10000,10000,9000,9000,10000,10000,10000,11000,11000,12000,12000,12000,12000,13000,14000,13000,13000,14000,14000,13000,13000,12000,12000,11000,10000,10000,10000,10000,10000,11000,13000,15000,16000,16000,16000,16000,17000,18000,18000,28000,30000,30000,30000,28000,28000,28000,18000,15000,12000,12000,12000,12000,10000,10000,12000,14000,16000,16000,17000,17000,17000,18000,18000,18000,18000,18000,18000,17000,17000,18000,18000,18000,19000,18000,17000,17000,16000,16000,16000,13000,12000,11000,12000,12000,13000,13000,13000,15000,16000,17000,17000,17000,16000,15000,14000,14000,14000,15000,15000,15000,15000,16000,16000,17000,18000,19000,18000,18000,18000,18000,20000,19000,20000,20000,22000,23000,27000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,30000,30000,28000,28000,27000,27000,27000,27000,27000,27000,26000,25000,25000,25000,25000
광주,25000,25000,28000,27000,27000,27000,26000,26000,26000,26000,26000,30000,32000,35000,35000,35000,35000,35000,35000,35000,35000,37000,38000,42000,43000,40000,37000,38000,38000,39000,39000,39000,38000,25000,25000,25000,25000,25000,26000,26000,26000,25000,25000,22000,23000,23000,23000,23000,23000,23000,23000,24000,24000,22000,21000,18000,17000,17000,17000,17000,17000,17000,17000,17000,18000,20000,24000,26000,23000,22000,20000,20000,20000,19000,19000,19000,19000,18000,15000,15000,15000,14000,12000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,10000,10000,9000,9000,8000,8000,9000,9000,9000,9000,9000,9000,9000,10000,10000,10000,10000,11000,12000,13000,15000,15000,16000,16000,16000,15000,14000,15000,15000,13000,13000,13000,12000,12000,11000,11000,11000,12000,13000,15000,16000,16000,17000,17000,16000,16000,17000,20000,20000,30000,36000,36000,34000,32000,20000,18000,18000,16000,15000,14000,14000,14000,14000,15000,16000,16000,17000,17000,20000,18000,18000,20000,20000,20000,18000,18000,19000,19000,19000,19000,19000,19000,19000,18000,17000,17000,17000,17000,13000,12000,12000,11000,12000,15000,16000,15000,15000,15000,16000,17000,17000,16000,15000,15000,14000,14000,14000,15000,15000,15000,15000,17000,17000,19000,20000,20000,18000,18000,18000,20000,25000,25000,25000,25000,26000,27000,27000,30000,32000,32000,32000,32000,34000,35000,35000,35000,35000,32000,30000,28000,28000,27000,27000,28000,28000,28000,27000,27000,25000,26000,26000,26000
대전,25000,26000,26000,26000,26000,26000,26000,26000,26000,26000,27000,27000,30000,34000,32000,33000,33000,33000,33000,33000,35000,39000,39000,39000,37000,37000,37000,37000,37000,36000,36000,39000,36000,29000,28000,28000,25000,25000,23000,24000,24000,24000,27000,26000,26000,26000,23000,23000,24000,24000,24000,24000,24000,23000,21000,20000,20000,20000,19000,17000,17000,17000,17000,19000,20000,23000,25000,26000,26000,23000,23000,21000,21000,19000,19000,19000,19000,17000,15000,13000,12000,12000,12000,12000,13000,13000,13000,13000,13000,13000,13000,11000,11000,12000,12000,12000,12000,12000,12000,10000,9000,9000,9000,9000,9000,10000,10000,10000,10000,10000,11000,11000,11000,11000,11000,13000,13000,13000,12000,12000,16000,16000,14000,14000,14000,14000,14000,14000,12000,12000,12000,11000,11000,11000,11000,16000,17000,17000,17000,17000,17000,17000,16000,16000,18000,20000,24000,24000,26000,26000,15000,13000,13000,12000,9000,9000,9000,9000,7000,7000,9000,10000,10000,10000,13000,13000,13000,13000,13000,13000,13000,13000,16000,13000,13000,15000,15000,15000,16000,14000,14000,14000,12000,10000,8000,8000,8000,7000,9000,10000,12000,11000,11000,11000,11000,13000,13000,13000,13000,11000,11000,11000,14000,16000,16000,16000,17000,17000,17000,17000,17000,17000,15000,15000,17000,17000,18000,18000,18000,18000,20000,20000,26000,26000,27000,27000,27000,30000,30000,32000,30000,30000,30000,26000,26000,24000,24000,24000,25000,24000,24000,26000,26000,24000,24000,24000,24000,24000
