구분,01/03,01/04,01/05,01/06,01/07,01/10,01/11,01/12,01/13,01/14,01/17,01/18,01/19,01/20,01/21,01/24,01/25,01/26,01/27,01/28,01/31,02/01,02/07,02/08,02/09,02/10,02/11,02/14,02/15,02/16,02/17,02/18,02/21,02/22,02/23,02/24,02/25,02/28,03/02,03/03,03/04,03/07,03/08,03/09,03/10,03/11,03/14,03/15,03/16,03/17,03/18,03/21,03/22,03/23,03/24,03/25,03/28,03/29,03/30,03/31,04/01,04/04,04/05,04/06,04/07,04/08,04/11,04/12,04/13,04/14,04/15,04/18,04/19,04/20,04/21,04/22,04/25,04/26,04/27,04/28,04/29,05/02,05/03,05/04,05/06,05/09,05/11,05/12,05/13,05/16,05/17,05/18,05/19,05/20,05/23,05/24,05/25,05/26,05/27,05/30,05/31,06/01,06/02,06/03,06/07,06/08,06/09,06/10,06/13,06/14,06/15,06/16,06/17,06/20,06/21,06/22,06/23,06/24,06/27,06/28,06/29,06/30,07/01,07/04,07/05,07/06,07/07,07/08,07/11,07/12,07/13,07/14,07/15,07/18,07/19,07/20,07/21,07/22,07/25,07/26,07/27,07/28,07/29,08/01,08/02,08/03,08/04,08/05,08/08,08/09,08/10,08/11,08/12,08/16,08/17,08/18,08/19,08/22,08/23,08/24,08/25,08/26,08/29,08/30,08/31,09/01,09/02,09/05,09/06,09/07,09/08,09/09,09/14,09/15,09/16,09/19,09/20,09/21,09/22,09/23,09/26,09/27,09/28,09/29,09/30,10/04,10/05,10/06,10/07,10/10,10/11,10/12,10/13,10/14,10/17,10/18,10/19,10/20,10/21,10/24,10/25,10/26,10/27,10/28,10/31,11/01,11/02,11/03,11/04,11/07,11/08,11/09,11/10,11/11,11/14,11/15,11/16,11/17,11/18,11/21,11/22,11/23,11/24,11/25,11/28,11/29,11/30,12/02,12/05,12/06,12/07,12/08,12/09,12/12,12/13,12/14,12/15,12/16,12/19,12/20,12/21,12/22,12/23,12/26,12/27,12/28,12/29,12/30
평균,20000,22000,24600,24200,27000,25000,23800,23800,24200,24200,24800,26000,27800,28400,32200,35200,35200,32000,32600,31400,31400,30800,22400,22400,21600,20600,21400,24000,24000,24400,25800,25800,26000,26000,25400,25400,25600,25000,24600,25200,26000,27400,29800,27600,25400,24600,23600,23400,22800,22200,22000,21000,21000,21000,21000,21400,20200,20200,19800,18800,19000,18200,18200,18200,18000,18400,18000,16800,16600,16200,15600,14200,14000,14000,13600,13000,13000,13000,13000,12800,13600,13800,13800,14200,14000,13400,13200,13800,13800,16400,16800,17800,18200,17800,17200,17200,17600,18000,18000,16200,15800,15800,15600,15600,15000,15200,15400,15400,15000,15000,14000,14000,13800,12200,12200,12200,12200,11600,14100,16200,17200,19800,21000,24600,26600,28800,28400,27400,26600,27200,27200,27800,29400,27000,27000,27200,28000,27200,24800,21800,18600,17800,17600,17000,16200,18400,22600,28400,27000,27000,25600,25200,25600,28200,26200,29200,31800,36000,38800,39800,39400,37600,25800,24200,22200,19800,19600,20000,21000,21000,21000,21000,21000,16400,14000,12600,13400,15000,15200,17000,16800,16000,15200,15200,14800,15800,16000,15600,15800,15400,15000,14200,14000,14000,14800,15600,17000,18000,18800,17600,18200,19600,19800,20400,20800,21400,22000,21600,21400,20200,20000,21000,23000,25200,27800,30800,30400,31000,31400,31800,31800,31200,30800,30600,25000,23400,23400,20600,20800,20200,21600,21600,22200,20800,21000,21400,21800,21800,22200,22200,22200,22200,23000,22600,22600,22600,22200,22600
평년,19420,19720,20193,20537,20640,21390,21627,21627,21797,21913,23890,24907,25807,26210,26530,26823,26733,26550,26043,25983,25230,25390,24327,24527,24673,24773,24433,23800,23867,23707,23890,24143,24150,23670,23053,22863,22950,22603,23237,23627,24543,24760,24587,24283,23960,23687,22300,22327,22053,21447,20930,20220,19947,19613,19293,19170,18350,18093,17983,17760,17493,16733,16613,16440,16013,15727,14313,14220,13960,13697,13473,13200,13160,12973,12903,12858,12690,12490,12327,12207,12083,11663,11343,10853,10527,9737,9627,9697,9670,10040,10117,10213,10370,10577,10807,10950,11280,11493,11513,10963,10878,10747,10563,10543,10583,10363,10260,10280,10320,10147,10083,10070,10230,10070,10100,10090,10057,9927,10127,10313,10360,10120,10062,9753,10043,10633,11187,11577,11583,11167,11313,11653,11938,13030,12833,12780,13432,14058,15547,15877,15740,15493,15273,13573,13360,13157,12697,12593,12507,12713,12983,12613,12153,13277,13687,14493,15910,18683,18610,17967,17803,18097,16227,17070,18577,19393,19540,22077,22363,22133,21890,21717,20603,20450,20090,19210,18797,18573,18367,18333,17980,17967,18063,17863,18077,18003,17743,17340,17327,15960,15543,15317,15077,14730,13157,12897,12820,12687,12593,13190,13233,13137,13360,13797,14350,14567,14897,15210,15413,16867,17107,17137,17193,17393,18667,18643,18880,18730,18290,17647,17560,17347,17110,16977,16560,16570,16583,16740,17550,17903,18070,18147,18240,18493,18553,18613,18580,18773,19453,19747,20163,20667,20880,20887,20520,19933,19687,19700
서울,23000,23000,25000,23000,26000,24000,23000,23000,24000,24000,26000,28000,27000,30000,35000,35000,35000,32000,32000,32000,32000,32000,20000,20000,18000,20000,20000,24000,24000,24000,24000,25000,25000,25000,25000,25000,25000,25000,26000,26000,26000,27000,27000,25000,24000,23000,23000,23000,22000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,21000,19000,19000,19000,18000,18000,18000,18000,17000,16000,14000,12000,12000,12000,13000,13000,13000,13000,13000,13000,14000,14000,14000,13000,13000,13000,13000,13000,13000,15000,17000,19000,19000,19000,18000,18000,18000,18000,18000,16000,16000,16000,16000,16000,16000,17000,17000,17000,15000,15000,15000,15000,14000,12000,12000,12000,12000,12000,15000,17000,17000,20000,22000,24000,27000,29000,29000,24000,23000,25000,25000,25000,25000,25000,25000,28000,28000,28000,24000,18000,14000,14000,14000,14000,14000,17000,22000,27000,27000,27000,23000,23000,23000,23000,23000,26000,29000,32000,34000,34000,34000,34000,24000,21000,17000,17000,17000,20000,20000,20000,20000,20000,20000,15000,14000,12000,14000,13000,13000,16000,13000,13000,13000,14000,14000,16000,16000,14000,14000,14000,13000,13000,13000,13000,15000,16000,16000,16000,18000,18000,18000,19000,19000,19000,19000,19000,20000,21000,21000,19000,19000,19000,21000,21000,24000,28000,28000,28000,30000,30000,30000,30000,30000,29000,27000,27000,27000,22000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
부산,17000,20000,23000,23000,25000,23000,22000,22000,22000,22000,23000,25000,26000,26000,30000,34000,34000,32000,31000,30000,30000,30000,22000,22000,20000,19000,19000,22000,22000,24000,25000,24000,25000,25000,25000,25000,25000,24000,24000,24000,24000,26000,28000,26000,25000,24000,23000,22000,22000,22000,22000,20000,20000,20000,20000,21000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,16000,16000,16000,16000,15000,15000,14000,14000,13000,12000,12000,12000,12000,12000,13000,13000,13000,14000,14000,14000,13000,13000,13000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,15000,15000,15000,15000,15000,14000,14000,14000,14000,14000,14000,14000,14000,14000,12000,12000,12000,12000,12000,14000,16000,17000,19000,20000,24000,25000,28000,28000,28000,26000,26000,26000,26000,27000,25000,25000,26000,26000,26000,26000,26000,20000,18000,17000,17000,17000,17000,22000,26000,26000,26000,25000,25000,25000,27000,25000,27000,30000,35000,40000,40000,38000,36000,26000,24000,22000,20000,20000,18000,20000,20000,20000,20000,20000,17000,14000,12000,14000,15000,15000,16000,16000,16000,16000,16000,16000,16000,17000,17000,16000,15000,15000,15000,15000,15000,15000,16000,16000,19000,20000,18000,19000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,23000,26000,28000,30000,30000,30000,30000,30000,30000,30000,30000,30000,25000,23000,23000,20000,20000,20000,22000,22000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,22000,22000,22000,22000,22000,22000
대구,18000,20000,23000,23000,27000,24000,24000,24000,23000,23000,23000,23000,26000,26000,30000,33000,33000,31000,33000,33000,33000,30000,20000,20000,20000,20000,22000,24000,24000,24000,29000,29000,29000,29000,26000,26000,26000,26000,23000,23000,25000,28000,31000,27000,27000,27000,25000,25000,25000,23000,23000,21000,21000,21000,21000,22000,19000,19000,19000,17000,17000,16000,16000,16000,16000,18000,18000,16000,16000,16000,16000,16000,16000,16000,16000,14000,14000,14000,14000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,16000,16000,18000,18000,18000,18000,18000,18000,20000,20000,20000,18000,18000,17000,17000,16000,16000,17000,17000,17000,17000,13000,13000,13000,13000,13000,13000,13000,10000,12500,14000,17000,20000,23000,25000,27000,27000,27000,27000,27000,27000,27000,27000,31000,27000,27000,27000,27000,27000,22000,22000,19000,19000,17000,17000,15000,19000,21000,27000,27000,27000,27000,25000,25000,27000,25000,30000,30000,33000,33000,38000,38000,38000,29000,26000,24000,21000,21000,21000,21000,21000,21000,21000,21000,18000,14000,14000,14000,16000,16000,16000,16000,16000,14000,14000,14000,14000,14000,14000,16000,16000,15000,15000,15000,15000,15000,16000,19000,19000,19000,19000,19000,20000,20000,21000,21000,23000,23000,20000,20000,20000,20000,20000,22000,27000,27000,31000,31000,33000,33000,33000,33000,30000,30000,30000,25000,22000,22000,22000,22000,20000,22000,22000,23000,21000,21000,23000,23000,22000,22000,22000,22000,22000,23000,21000,21000,21000,21000,21000
광주,18000,23000,25000,25000,28000,25000,23000,23000,25000,25000,25000,27000,30000,30000,33000,36000,36000,31000,33000,30000,30000,30000,25000,25000,25000,22000,22000,24000,24000,24000,25000,25000,25000,25000,25000,25000,26000,25000,25000,25000,25000,26000,30000,27000,25000,25000,23000,23000,23000,23000,23000,22000,22000,22000,22000,22000,20000,20000,20000,19000,19000,18000,18000,18000,18000,18000,18000,16000,16000,15000,15000,15000,15000,15000,13000,13000,13000,13000,13000,13000,14000,15000,15000,14000,13000,13000,13000,14000,14000,16000,16000,16000,18000,18000,18000,18000,18000,18000,18000,16000,16000,16000,16000,16000,15000,15000,15000,15000,15000,15000,14000,14000,14000,12000,12000,12000,12000,12000,14000,16000,17000,20000,20000,25000,27000,30000,30000,30000,27000,28000,28000,31000,34000,28000,28000,30000,34000,30000,27000,23000,20000,18000,20000,17000,17000,21000,25000,34000,27000,27000,25000,25000,27000,36000,30000,33000,35000,40000,42000,42000,42000,40000,25000,25000,23000,21000,20000,26000,24000,24000,24000,24000,24000,17000,15000,12000,12000,14000,15000,17000,19000,17000,17000,16000,16000,16000,16000,16000,16000,15000,15000,13000,12000,12000,14000,15000,16000,18000,19000,15000,15000,17000,18000,19000,21000,22000,22000,22000,22000,21000,20000,21000,23000,26000,30000,32000,30000,31000,31000,33000,33000,33000,31000,31000,25000,22000,22000,19000,18000,19000,20000,20000,20000,21000,22000,22000,22000,23000,23000,23000,23000,23000,24000,24000,24000,24000,24000,23000
대전,24000,24000,27000,27000,29000,29000,27000,27000,27000,27000,27000,27000,30000,30000,33000,38000,38000,34000,34000,32000,32000,32000,25000,25000,25000,22000,24000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,25000,25000,28000,30000,30000,33000,33000,26000,24000,24000,24000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,18000,18000,13000,13000,13000,13000,13000,13000,13000,13000,13000,14000,14000,14000,16000,16000,13000,13000,15000,15000,20000,20000,20000,20000,18000,16000,16000,18000,18000,18000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,12000,12000,12000,12000,12000,15000,18000,18000,20000,20000,25000,27000,30000,28000,28000,30000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,20000,20000,20000,20000,20000,18000,18000,23000,28000,28000,28000,28000,28000,28000,28000,28000,30000,35000,40000,45000,45000,45000,40000,25000,25000,25000,20000,20000,15000,20000,20000,20000,20000,20000,15000,13000,13000,13000,17000,17000,20000,20000,18000,16000,16000,14000,17000,17000,17000,17000,17000,17000,15000,15000,15000,15000,15000,18000,18000,18000,18000,20000,22000,22000,22000,22000,22000,24000,24000,23000,20000,20000,24000,26000,26000,30000,33000,33000,33000,33000,33000,33000,33000,33000,33000,23000,23000,23000,20000,22000,22000,24000,24000,26000,22000,22000,22000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,22000,25000
