,일자,"서울가락도매
평균가격 (원/kg)"
289,20221017,2300.0
290,20221018,2340.0
291,20221019,2300.0
292,20221020,2220.0
293,20221021,2170.0
294,20221022,2060.0
295,20221023,1970.0
296,20221024,1980.0
297,20221025,1960.0
298,20221026,1940.0
299,20221027,1950.0
300,20221028,1900.0
301,20221029,1780.0
302,20221030,1710.0
303,20221031,1770.0
304,20221101,1730.0
305,20221102,1710.0
306,20221103,1690.0
307,20221104,1640.0
308,20221105,1560.0
309,20221106,1500.0
310,20221107,1600.0
311,20221108,1590.0
312,20221109,1560.0
313,20221110,1560.0
314,20221111,1560.0
315,20221112,1500.0
316,20221113,1450.0
317,20221114,1400.0
318,20221115,1370.0
319,20221116,1340.0
320,20221117,1370.0
321,20221118,1420.0
322,20221119,1400.0
323,20221120,1380.0
324,20221121,1400.0
325,20221122,1320.0
326,20221123,1220.0
327,20221124,1220.0
328,20221125,1260.0
329,20221126,1280.0
330,20221127,1280.0
331,20221128,1480.0
332,20221129,1480.0
333,20221130,1580.0
334,20221201,1700.0
335,20221202,1720.0
336,20221203,1670.0
337,20221204,1640.0
338,20221205,1840.0
339,20221206,2000.0
340,20221207,2200.0
341,20221208,2340.0
342,20221209,2370.0
343,20221210,2280.0
344,20221211,2260.0
345,20221212,2340.0
346,20221213,2440.0
347,20221214,2540.0
348,20221215,2620.0
349,20221216,2620.0
350,20221217,2600.0
351,20221218,2650.0
352,20221219,2780.0
353,20221220,2920.0
354,20221221,3060.0
355,20221222,3280.0
356,20221223,3390.0
357,20221224,3330.0
358,20221225,3370.0
359,20221226,3410.0
360,20221227,3470.0
361,20221228,3530.0
362,20221229,3580.0
363,20221230,3540.0
364,20221231,3300.0
