구분,01/02,01/03,01/06,01/07,01/08,01/09,01/10,01/13,01/14,01/15,01/16,01/17,01/20,01/21,01/22,01/23,01/24,01/27,01/28,01/29,02/03,02/04,02/05,02/06,02/07,02/10,02/11,02/12,02/13,02/14,02/17,02/18,02/19,02/20,02/21,02/24,02/25,02/26,02/27,02/28,03/03,03/04,03/05,03/06,03/07,03/10,03/11,03/12,03/13,03/14,03/17,03/18,03/19,03/20,03/21,03/24,03/25,03/26,03/27,03/28,03/31,04/01,04/02,04/03,04/04,04/07,04/08,04/09,04/10,04/11,04/14,04/15,04/16,04/17,04/18,04/21,04/22,04/23,04/24,04/25,04/28,04/29,04/30,05/02,05/07,05/08,05/09,05/12,05/13,05/14,05/15,05/16,05/19,05/20,05/21,05/22,05/23,05/26,05/27,05/28,05/29,05/30,06/02,06/03,06/05,06/09,06/10,06/11,06/12,06/13,06/16,06/17,06/18,06/19,06/20,06/23,06/24,06/25,06/26,06/27,06/30,07/01,07/02,07/03,07/04,07/07,07/08,07/09,07/10,07/11,07/14,07/15,07/16,07/17,07/18,07/21,07/22,07/23,07/24,07/25,07/28,07/29,07/30,07/31,08/04,08/05,08/06,08/07,08/08,08/11,08/12,08/13,08/14,08/18,08/19,08/20,08/21,08/22,08/25,08/26,08/27,08/28,08/29,09/01,09/02,09/03,09/04,09/05,09/11,09/12,09/15,09/17,09/18,09/19,09/22,09/23,09/24,09/25,09/26,09/29,09/30,10/01,10/02,10/06,10/07,10/08,10/10,10/13,10/14,10/15,10/16,10/17,10/20,10/21,10/22,10/23,10/24,10/27,10/28,10/29,10/30,10/31,11/03,11/04,11/05,11/06,11/07,11/10,11/11,11/12,11/13,11/14,11/17,11/18,11/19,11/20,11/21,11/24,11/25,11/26,11/27,11/28,12/02,12/03,12/04,12/05,12/08,12/09,12/10,12/11,12/12,12/15,12/16,12/17,12/18,12/19,12/22,12/23,12/24,12/26,12/29,12/30,12/31
평균,22800,23600,24400,23200,23600,23800,25600,25800,28200,31600,30600,32600,32800,32800,34000,34000,34000,34000,34000,34000,33000,27600,27000,26200,24600,26000,27600,29200,30000,30200,29600,28800,28800,28800,29000,30200,30000,30000,30000,29600,30400,30400,30000,29800,30000,29200,28800,28800,28200,28600,29000,29200,29200,28800,28600,26400,24800,22800,22400,22000,21800,19800,20400,21200,22600,24600,24400,22600,22200,21800,19000,17800,17400,17400,17000,15400,15600,15600,16000,16000,15200,14400,14600,15800,14800,13800,13800,13600,13600,13600,12800,12600,12000,11400,11200,11400,11400,11200,11200,11600,11400,12600,12400,12600,13200,14000,14600,14400,15600,16600,16000,14600,13800,13200,12000,11000,10800,10000,9800,10000,8600,8200,8000,9000,8800,9000,8800,9000,9200,9400,9000,9200,9400,9400,9400,8400,8800,8800,9000,9600,9600,10400,10800,12400,15400,15200,15200,15600,16200,16000,16400,17200,19800,20200,19000,19000,19000,18600,18400,21000,22000,23800,24800,24400,24600,24400,24800,23200,17400,13200,12600,12800,12600,12400,11200,11000,10400,10400,9200,9200,9200,9400,9600,11800,13000,14600,14600,13200,12800,13200,13600,13400,13200,13200,13000,12600,12000,13600,15800,15400,16000,16200,18400,20400,21600,23400,25000,24600,23600,23800,23200,23400,22000,22400,22200,22200,22600,20400,19600,19600,19200,18400,18400,18400,22400,22200,22800,22600,24000,24200,25400,25800,27800,29200,28600,28800,28800,28800,28400,29200,26600,26600,25800
평년,22477,22893,25063,25407,25633,25987,26103,26317,26750,27017,27280,27693,29603,30460,30820,30660,31063,31000,30070,29667,28557,28820,28980,29140,28943,28200,28207,28300,28370,28117,28497,28340,27807,27447,27477,26837,26813,27050,27223,27243,28017,29027,29627,29797,29820,29353,28893,28323,27603,27087,25017,24557,24010,23637,23320,22820,22690,22527,22353,22093,21063,20853,20457,20070,19730,18963,18753,18400,17973,17560,16243,16007,15707,15453,15120,14233,14087,13930,13910,13997,14340,14363,14300,14133,12633,12237,12117,11708,11670,11580,11503,11433,11543,11753,11867,12000,12000,12187,12467,12747,13383,13980,13257,12920,12267,11947,11890,11920,11893,12060,12133,12040,12003,12030,11960,12047,12180,12055,11888,11953,11557,11273,10987,10717,10557,11187,11433,11933,12510,13350,15023,15367,16653,18133,18980,20037,20227,19973,19693,19253,18070,17220,16010,14960,15307,15840,15960,15627,15413,16220,16403,16547,16517,18120,18823,19907,21450,23237,26680,25773,25583,25927,25717,24467,24947,25420,26033,26520,28750,28283,25967,24000,23357,23180,22110,22100,21737,21377,21160,19637,19253,18830,18490,16057,15917,15310,13853,14000,14477,15307,15957,16350,17173,17280,17290,17357,17667,18223,18150,18067,18190,18257,18873,18807,18760,18807,18833,20047,20620,21180,22030,22423,23027,23533,23533,23500,23533,22493,21960,21467,20927,20557,18933,18657,18463,18437,18533,18693,18693,18737,18803,19400,20000,20867,21563,21937,23303,23373,23373,23187,22683,22453,22447
서울,20000,22000,25000,23000,23000,23000,25000,25000,27000,30000,30000,32000,32000,32000,33000,32000,32000,32000,32000,32000,32000,28000,28000,26000,26000,26000,26000,26000,30000,30000,30000,30000,30000,29000,28000,28000,28000,28000,28000,27000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,29000,29000,29000,28000,25000,22000,22000,22000,22000,21000,19000,20000,20000,23000,25000,25000,23000,22000,22000,18000,18000,18000,17000,16000,15000,15000,15000,15000,15000,15000,14000,14000,18000,15000,12000,12000,12000,12000,12000,12000,12000,12000,11000,10000,11000,11000,11000,11000,11000,11000,11000,13000,13000,14000,17000,17000,17000,17000,17000,16000,15000,14000,12000,10000,10000,10000,8000,8000,9000,8000,8000,7000,7000,6000,8000,7000,7000,7000,8000,7000,7000,7000,7000,7000,7000,7000,7000,8000,9000,9000,9000,11000,11000,13000,13000,13000,13000,13000,13000,14000,16000,16000,16000,16000,16000,16000,16000,16000,19000,19000,23000,23000,21000,21000,21000,21000,21000,9000,9000,11000,11000,10000,10000,10000,9000,8000,8000,7000,7000,7000,8000,9000,11000,12000,15000,15000,14000,14000,14000,14000,13000,13000,13000,13000,12000,12000,13000,18000,15000,15000,15000,17000,20000,21000,23000,23000,26000,26000,27000,26000,25000,21000,21000,21000,21000,20000,18000,18000,18000,18000,18000,18000,18000,24000,24000,24000,24000,25000,25000,25000,25000,28000,28000,28000,29000,29000,29000,29000,28000,27000,27000,26000
부산,23000,23000,23000,22000,23000,23000,25000,25000,27000,29000,29000,33000,33000,33000,34000,34000,34000,34000,34000,34000,34000,29000,26000,26000,24000,25000,28000,29000,29000,29000,29000,29000,29000,29000,29000,30000,30000,30000,30000,29000,30000,30000,30000,30000,30000,28000,26000,26000,26000,27000,27000,27000,27000,27000,27000,25000,23000,22000,22000,22000,22000,20000,20000,20000,22000,24000,24000,22000,22000,22000,19000,18000,17000,17000,16000,15000,15000,15000,15000,15000,15000,14000,14000,15000,14000,14000,14000,14000,14000,14000,14000,14000,13000,12000,12000,12000,12000,11000,11000,12000,11000,13000,13000,13000,13000,14000,15000,15000,16000,17000,16000,14000,13000,13000,12000,10000,10000,9000,9000,9000,8000,8000,8000,10000,10000,9000,9000,10000,10000,10000,9000,9000,9000,9000,9000,8000,9000,9000,9000,9000,9000,11000,11000,13000,13000,13000,14000,15000,16000,16000,16000,16000,18000,20000,19000,19000,19000,19000,18000,20000,24000,26000,26000,26000,27000,27000,25000,25000,25000,15000,14000,14000,14000,13000,13000,13000,12000,12000,10000,10000,10000,10000,10000,12000,12000,14000,14000,13000,12000,12000,14000,14000,14000,14000,13000,13000,13000,15000,16000,16000,16000,16000,17000,21000,22000,23000,25000,22000,22000,23000,23000,24000,22000,22000,22000,22000,24000,22000,20000,20000,20000,19000,19000,19000,20000,20000,24000,23000,24000,24000,24000,24000,26000,27000,27000,27000,27000,27000,27000,30000,27000,27000,27000
대구,25000,25000,25000,22000,22000,22000,25000,25000,28000,30000,30000,30000,30000,30000,34000,34000,34000,34000,34000,34000,34000,26000,26000,24000,24000,26000,26000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,27000,27000,24000,24000,24000,24000,20000,20000,20000,20000,22000,22000,22000,22000,22000,20000,17000,17000,17000,17000,15000,15000,15000,16000,16000,15000,14000,14000,15000,15000,15000,15000,15000,15000,15000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,13000,12000,12000,12000,12000,12000,12000,14000,15000,15000,15000,14000,14000,14000,13000,13000,12000,12000,12000,10000,9000,9000,9000,9000,9000,9000,9000,10000,10000,10000,10000,10000,10000,10000,9000,10000,10000,10000,10000,10000,10000,10000,11000,15000,15000,15000,16000,16000,17000,18000,18000,20000,23000,21000,21000,21000,21000,21000,21000,22000,22000,22000,22000,22000,22000,25000,25000,25000,15000,15000,15000,15000,15000,13000,13000,12000,12000,10000,10000,10000,10000,10000,12000,12000,14000,14000,13000,13000,14000,14000,14000,14000,14000,13000,13000,13000,13000,15000,15000,15000,15000,18000,18000,20000,22000,25000,25000,23000,22000,22000,23000,22000,22000,22000,22000,22000,20000,20000,20000,20000,18000,18000,18000,20000,20000,20000,20000,22000,22000,25000,25000,27000,28000,28000,29000,29000,29000,29000,30000,27000,27000,26000
광주,24000,24000,25000,25000,25000,26000,26000,27000,29000,31000,31000,35000,36000,36000,36000,35000,35000,35000,35000,35000,30000,27000,27000,27000,26000,28000,30000,31000,31000,30000,27000,27000,27000,28000,30000,31000,30000,30000,30000,30000,32000,32000,30000,29000,30000,28000,28000,28000,28000,29000,30000,30000,30000,28000,28000,27000,24000,22000,22000,20000,22000,20000,22000,23000,25000,27000,26000,23000,22000,22000,20000,17000,16000,17000,17000,15000,15000,15000,16000,16000,15000,14000,15000,15000,14000,14000,14000,13000,13000,13000,12000,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,13000,12000,13000,15000,15000,15000,14000,16000,18000,17000,15000,14000,13000,12000,12000,11000,11000,10000,10000,9000,8000,8000,10000,10000,10000,10000,10000,10000,10000,11000,12000,12000,12000,12000,9000,9000,9000,9000,11000,11000,12000,12000,15000,20000,20000,18000,18000,18000,18000,18000,19000,25000,22000,20000,20000,20000,20000,20000,23000,23000,26000,28000,28000,28000,27000,28000,25000,13000,12000,11000,12000,12000,12000,10000,10000,10000,10000,10000,10000,10000,10000,10000,14000,15000,15000,15000,13000,12000,12000,12000,13000,12000,12000,12000,12000,12000,13000,15000,15000,18000,18000,21000,21000,21000,24000,26000,25000,22000,22000,22000,22000,22000,25000,24000,24000,25000,22000,22000,22000,21000,20000,20000,20000,26000,25000,23000,24000,26000,27000,28000,28000,31000,34000,31000,30000,30000,30000,28000,30000,26000,26000,25000
대전,22000,24000,24000,24000,25000,25000,27000,27000,30000,38000,33000,33000,33000,33000,33000,35000,35000,35000,35000,35000,35000,28000,28000,28000,23000,25000,28000,30000,30000,32000,32000,28000,28000,28000,28000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,29000,29000,30000,30000,30000,30000,30000,28000,28000,24000,22000,22000,20000,20000,20000,23000,23000,25000,25000,23000,23000,21000,18000,19000,19000,19000,19000,17000,18000,18000,18000,18000,16000,16000,16000,16000,16000,14000,14000,14000,14000,14000,14000,14000,12000,12000,12000,12000,12000,12000,12000,13000,13000,13000,12000,12000,12000,12000,14000,14000,15000,16000,16000,14000,14000,14000,12000,10000,10000,10000,10000,10000,8000,8000,8000,9000,9000,9000,9000,9000,9000,9000,8000,8000,9000,9000,9000,9000,9000,9000,9000,9000,9000,10000,10000,12000,16000,15000,16000,16000,18000,16000,16000,17000,20000,20000,19000,19000,19000,17000,17000,22000,22000,22000,25000,25000,25000,25000,25000,20000,15000,15000,12000,12000,12000,12000,10000,10000,10000,10000,9000,9000,9000,9000,9000,10000,14000,15000,15000,13000,13000,14000,14000,13000,13000,13000,14000,13000,10000,14000,15000,16000,16000,17000,19000,22000,24000,25000,26000,25000,25000,25000,23000,23000,23000,22000,22000,22000,22000,20000,18000,18000,17000,17000,17000,17000,22000,22000,23000,22000,23000,23000,25000,27000,27000,29000,29000,29000,29000,29000,29000,28000,26000,26000,25000
