구분,01/02,01/03,01/04,01/05,01/06,01/09,01/10,01/11,01/12,01/13,01/16,01/17,01/18,01/19,01/20,01/23,01/24,01/25,01/26,01/31,02/01,02/02,02/03,02/06,02/07,02/08,02/09,02/10,02/13,02/14,02/15,02/16,02/17,02/20,02/21,02/22,02/23,02/24,02/27,02/28,03/02,03/03,03/06,03/07,03/08,03/09,03/10,03/13,03/14,03/15,03/16,03/17,03/20,03/21,03/22,03/23,03/24,03/27,03/28,03/29,03/30,03/31,04/03,04/04,04/05,04/06,04/07,04/10,04/11,04/12,04/13,04/14,04/17,04/18,04/19,04/20,04/21,04/24,04/25,04/26,04/27,04/28,05/02,05/04,05/08,05/10,05/11,05/12,05/15,05/16,05/17,05/18,05/19,05/22,05/23,05/24,05/25,05/26,05/29,05/30,05/31,06/01,06/02,06/05,06/07,06/08,06/09,06/12,06/13,06/14,06/15,06/16,06/19,06/20,06/21,06/22,06/23,06/26,06/27,06/28,06/29,06/30,07/03,07/04,07/05,07/06,07/07,07/10,07/11,07/12,07/13,07/14,07/17,07/18,07/19,07/20,07/21,07/24,07/25,07/26,07/27,07/28,07/31,08/01,08/02,08/03,08/04,08/07,08/08,08/09,08/10,08/11,08/14,08/16,08/17,08/18,08/21,08/22,08/23,08/24,08/25,08/28,08/29,08/30,08/31,09/01,09/04,09/05,09/06,09/07,09/08,09/11,09/12,09/13,09/14,09/15,09/18,09/19,09/20,09/21,09/22,09/25,09/26,09/27,09/28,09/29,10/10,10/11,10/12,10/13,10/16,10/17,10/18,10/19,10/20,10/23,10/24,10/25,10/26,10/27,10/30,10/31,11/01,11/02,11/03,11/06,11/07,11/08,11/09,11/10,11/13,11/14,11/15,11/16,11/17,11/20,11/21,11/22,11/23,11/24,11/27,11/28,11/29,11/30,12/04,12/05,12/06,12/07,12/08,12/11,12/12,12/13,12/14,12/15,12/18,12/19,12/20,12/21,12/22,12/26,12/27,12/28,12/29
평균,26400,25600,25200,24800,26000,28000,29000,31600,31600,31000,32600,32600,32600,32600,31800,32800,32000,31400,30400,26400,22400,22800,22400,22000,22000,21200,20200,20200,20800,21400,21200,20600,23200,22000,22000,22400,22600,22600,22600,23000,25200,24000,22000,20600,20800,20000,19600,18200,18600,17600,17000,17200,16600,15600,15200,15200,16200,15800,14200,14200,13800,14400,15400,15000,15800,15200,14400,13800,13800,13600,13000,13200,12800,12200,12200,12200,11400,11200,11400,11400,11400,11000,10400,9400,8000,9000,9200,9000,10800,11400,13000,13200,13400,12600,12600,12600,11200,10400,10600,10000,10200,9600,9600,10000,10200,10200,12000,14400,14200,13800,14000,14600,13400,13200,12600,12200,11600,11000,10800,11600,11400,13400,14800,15400,15600,15400,16200,18400,19200,20000,22000,22000,22400,24400,24800,25400,25400,23000,22600,23000,23400,23800,25400,26200,27200,29200,30200,29400,28200,26400,25600,24000,23000,24000,27200,28000,29200,29200,29800,32400,33600,38200,46600,54600,58000,58600,49000,44400,38600,38200,35200,29600,25000,22600,23200,22800,20400,21600,21200,21200,23000,22000,20000,17000,14800,14200,11800,11000,11600,12000,12600,15200,16600,16400,16000,15800,15000,14200,14400,14400,14400,14400,15200,15000,14200,14000,14400,14060,14200,13800,13400,13000,12000,12200,12400,13000,13400,13400,13200,13400,13400,13200,13000,13000,12800,12800,13000,14200,15400,16400,16400,16400,18600,20800,23400,24800,24800,23400,22800,21400,20800,21000,22800
평년,24643,24643,25050,25627,26210,26800,26877,26910,26893,27503,29657,30023,30333,30823,31320,32740,32903,33073,33170,34110,34110,34453,34510,35400,35737,35697,35690,35477,32417,31663,30887,30587,30800,29970,30090,29913,29353,28523,27480,27357,27490,27493,27653,27547,27460,27577,27653,27210,26993,26727,26577,26443,26047,25590,25233,24633,23837,21817,21160,20547,20057,19770,19353,19280,19057,19120,19567,19407,18640,18253,17913,17547,16120,15733,15450,15343,15207,14787,14733,14830,14793,14500,13553,13217,12560,12147,12005,11942,11753,11587,11573,11613,11550,11563,11553,11453,11293,11103,10960,10893,10883,10897,10973,11463,11683,11800,11987,12137,12287,12543,12767,13013,13060,13003,13093,13170,12933,12273,11987,11577,11337,11247,10863,10973,10947,10920,10900,11093,11897,12883,13403,13450,14987,15077,14663,14347,14213,13633,13327,13097,12957,13093,15303,16150,16803,18330,19353,19457,18783,18307,17183,16270,14710,14757,15053,15180,16120,16093,16150,16377,17353,20827,22240,24213,25773,26387,26803,26133,26203,26480,26787,27490,25963,24867,24393,24353,23183,22767,21980,20983,20677,17993,17297,16563,16107,16333,13667,13877,14017,14137,16253,16987,17433,17307,16627,15850,16127,16340,16597,16943,17383,17847,18280,18597,19210,21243,21483,21563,21417,21090,20777,20710,20320,20197,20280,20937,20957,20943,21267,21613,21187,21053,20907,20870,21507,21893,22393,22553,22763,23347,23667,23813,23813,24110,25800,26263,26513,26570,26507,25897,25793,26000,26067
서울,26000,24000,24000,25000,27000,29000,29000,29000,29000,29000,32000,32000,32000,32000,30000,33000,30000,30000,25000,25000,20000,23000,23000,21000,21000,20000,19000,19000,22000,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,22000,22000,22000,20000,20000,20000,18000,18000,18000,18000,18000,17000,17000,15000,14000,14000,14000,14000,14000,13000,15000,15000,15000,15000,15000,13000,13000,13000,12000,12000,12000,12000,12000,11000,11000,11000,11000,11000,11000,12000,12000,12000,11000,10000,8000,6000,8000,9000,10000,12000,13000,13000,13000,13000,13000,13000,13000,11000,11000,10000,10000,9000,9000,9000,9000,9000,12000,14000,15000,14000,13000,13000,14000,12000,12000,10000,10000,10000,10000,10000,11000,11000,13000,16000,16000,16000,15000,15000,16000,18000,21000,26000,26000,27000,25000,22000,25000,25000,20000,20000,20000,24000,26000,32000,32000,34000,34000,34000,26000,26000,23000,23000,22000,20000,20000,27000,30000,27000,25000,27000,32000,32000,38000,48000,60000,60000,60000,40000,37000,30000,30000,25000,20000,18000,20000,23000,23000,20000,21000,21000,21000,21000,18000,17000,14000,12000,12000,9000,9000,11000,12000,14000,16000,15000,15000,14000,14000,12000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,12000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,14000,16000,16000,16000,16000,16000,20000,24000,24000,24000,24000,22000,21000,21000,21000,21000
부산,24000,23000,23000,23000,24000,26000,26000,29000,29000,27000,30000,30000,30000,30000,28000,30000,30000,30000,30000,30000,22000,22000,20000,20000,20000,19000,19000,19000,19000,19000,19000,19000,21000,20000,20000,20000,20000,21000,21000,22000,22000,22000,20000,18000,18000,17000,17000,16000,16000,16000,16000,16000,16000,16000,14000,14000,16000,15000,13000,13000,13000,14000,15000,15000,16000,16000,16000,14000,14000,13000,13000,13000,12000,12000,12000,12000,11000,10000,10000,10000,10000,9000,9000,9000,8000,9000,9000,9000,9000,10000,12000,13000,13000,12000,12000,12000,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,11000,12000,12000,11000,11000,13000,13000,13000,12000,12000,10000,10000,10000,11000,11000,12000,13000,14000,14000,14000,16000,18000,18000,19000,20000,20000,20000,22000,25000,25000,25000,20000,18000,20000,20000,20000,22000,24000,26000,28000,28000,30000,26000,22000,22000,22000,21000,20000,24000,24000,26000,26000,28000,29000,30000,32000,40000,45000,55000,58000,50000,47000,43000,43000,40000,30000,22000,18000,18000,18000,18000,20000,20000,20000,20000,20000,19000,17000,16000,15000,13000,11000,11000,11000,12000,15000,15000,15000,14000,14000,14000,14000,14000,14000,14000,14000,15000,14000,14000,13000,13000,13000,13000,13000,13000,13000,12000,12000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,14000,16000,18000,18000,18000,20000,20000,22000,23000,23000,23000,22000,20000,20000,20000,21000
대구,28000,27000,25000,25000,27000,30000,30000,35000,35000,33000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,25000,25000,25000,25000,25000,23000,20000,20000,20000,20000,20000,20000,25000,22000,22000,25000,25000,25000,25000,25000,30000,25000,25000,25000,25000,25000,25000,20000,20000,18000,17000,17000,17000,16000,16000,16000,17000,17000,17000,15000,15000,15000,15000,15000,17000,15000,15000,15000,15000,15000,13000,13000,13000,13000,13000,13000,12000,12000,12000,12000,12000,12000,12000,11000,10000,11000,11000,9000,9000,10000,12000,12000,12000,12000,12000,12000,11000,10000,10000,10000,10000,10000,10000,10000,9000,9000,9000,14000,14000,14000,14000,14000,14000,14000,14000,13000,13000,13000,13000,13000,12000,15000,15000,16000,16000,16000,16000,18000,18000,18000,20000,20000,20000,25000,25000,25000,25000,25000,25000,25000,24000,24000,24000,25000,26000,30000,30000,32000,32000,30000,30000,25000,25000,25000,25000,25000,30000,30000,30000,30000,35000,40000,45000,50000,55000,55000,55000,50000,45000,45000,40000,40000,30000,27000,27000,27000,20000,20000,20000,20000,25000,25000,20000,18000,13000,13000,13000,12000,12000,12000,12000,15000,20000,20000,20000,20000,18000,15000,15000,15000,15000,15000,16000,16000,15000,14000,15000,15000,15000,15000,15000,15000,13000,13000,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,13000,13000,13000,14000,15000,17000,17000,17000,16000,20000,20000,25000,25000,20000,20000,18000,18000,20000,25000
광주,28000,28000,28000,25000,26000,25000,30000,32000,32000,33000,33000,33000,33000,33000,33000,33000,32000,30000,30000,22000,22000,21000,21000,21000,21000,21000,20000,20000,20000,23000,22000,21000,23000,22000,22000,23000,23000,22000,22000,21000,22000,21000,20000,20000,19000,18000,20000,19000,19000,18000,17000,18000,17000,16000,16000,16000,16000,15000,15000,15000,13000,15000,14000,14000,16000,15000,14000,14000,14000,14000,13000,13000,13000,12000,12000,12000,12000,11000,11000,11000,11000,11000,11000,11000,8000,8000,8000,8000,12000,12000,13000,13000,14000,13000,13000,13000,12000,10000,12000,10000,10000,9000,9000,9000,11000,10000,12000,14000,14000,14000,15000,15000,14000,13000,13000,13000,12000,12000,11000,11000,11000,12000,15000,15000,15000,15000,16000,20000,20000,20000,20000,20000,20000,25000,26000,26000,26000,24000,24000,24000,23000,23000,23000,24000,24000,24000,28000,30000,28000,28000,28000,26000,26000,28000,30000,30000,32000,32000,31000,33000,33000,40000,44000,54000,56000,56000,50000,45000,43000,43000,43000,33000,30000,25000,23000,22000,20000,22000,20000,20000,25000,25000,22000,18000,16000,15000,13000,12000,12000,12000,12000,15000,15000,15000,15000,16000,15000,14000,14000,14000,14000,14000,16000,16000,15000,15000,16000,15000,15000,14000,13000,12000,11000,11000,12000,13000,14000,14000,13000,14000,14000,13000,13000,13000,13000,12000,13000,14000,15000,15000,15000,15000,18000,20000,23000,24000,24000,23000,23000,21000,20000,20000,22000
대전,26000,26000,26000,26000,26000,30000,30000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,32000,32000,25000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,21000,25000,24000,24000,24000,25000,25000,25000,25000,30000,30000,25000,20000,22000,22000,18000,18000,20000,18000,18000,18000,18000,16000,16000,16000,18000,18000,13000,13000,13000,13000,18000,16000,17000,17000,14000,14000,14000,14000,14000,15000,15000,13000,13000,13000,11000,12000,12000,12000,12000,12000,10000,8000,8000,9000,9000,9000,12000,12000,15000,15000,15000,13000,13000,13000,11000,10000,11000,10000,12000,10000,10000,12000,12000,10000,14000,17000,17000,17000,17000,17000,14000,14000,14000,13000,13000,10000,10000,12000,12000,15000,15000,16000,17000,17000,18000,20000,22000,22000,24000,24000,25000,25000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,30000,31000,29000,29000,29000,25000,25000,23000,27000,30000,31000,31000,33000,33000,38000,38000,41000,56000,64000,64000,64000,50000,43000,32000,30000,28000,25000,25000,23000,25000,24000,24000,25000,25000,25000,24000,22000,22000,18000,17000,16000,11000,11000,12000,13000,13000,15000,18000,17000,17000,15000,16000,16000,16000,16000,16000,16000,16000,16000,14000,15000,15000,14300,15000,15000,15000,14000,12000,13000,14000,14000,15000,14000,14000,14000,14000,14000,13000,13000,13000,14000,14000,15000,15000,16000,16000,16000,23000,24000,28000,28000,28000,27000,27000,27000,25000,24000,25000
