구분,,01/02,01/03,01/04,01/07,01/08,01/09,01/10,01/11,01/14,01/15,01/16,01/17,01/18,01/21,01/22,01/23,01/24,01/25,01/28,01/29,01/30,01/31,02/01,02/04,02/05,02/06,02/07,02/08,02/12,02/13,02/14,02/15,02/18,02/19,02/20,02/21,02/22,02/25,02/26,02/27,02/28,03/04,03/05,03/06,03/07,03/08,03/11,03/12,03/13,03/14,03/15,03/18,03/19,03/20,03/21,03/22,03/25,03/26,03/27,03/28,03/29,04/01,04/02,04/03,04/04,04/05,04/08,04/09,04/10,04/11,04/12,04/15,04/16,04/17,04/18,04/19,04/22,04/23,04/24,04/25,04/26,04/29,04/30,05/02,05/03,05/06,05/07,05/08,05/09,05/10,05/13,05/14,05/15,05/16,05/20,05/21,05/22,05/23,05/24,05/27,05/28,05/29,05/30,05/31,06/03,06/04,06/05,06/07,06/10,06/11,06/12,06/13,06/14,06/17,06/18,06/19,06/20,06/21,06/24,06/25,06/26,06/27,06/28,07/01,07/02,07/03,07/04,07/05,07/08,07/09,07/10,07/11,07/12,07/15,07/16,07/17,07/18,07/19,07/22,07/23,07/24,07/25,07/26,07/29,07/30,07/31,08/01,08/02,08/05,08/06,08/07,08/08,08/09,08/12,08/13,08/14,08/16,08/19,08/20,08/21,08/22,08/23,08/26,08/27,08/28,08/29,08/30,09/02,09/03,09/04,09/05,09/06,09/09,09/10,09/11,09/12,09/13,09/16,09/17,09/23,09/24,09/25,09/26,09/27,09/30,10/01,10/02,10/04,10/07,10/08,10/10,10/11,10/14,10/15,10/16,10/17,10/18,10/21,10/22,10/23,10/24,10/25,10/28,10/29,10/30,10/31,11/01,11/04,11/05,11/06,11/07,11/08,11/11,11/12,11/13,11/14,11/15,11/18,11/19,11/20,11/21,11/22,11/25,11/26,11/27,11/28,11/29,12/02,12/03,12/04,12/05,12/06,12/09,12/10,12/11,12/12,12/13,12/16,12/17,12/18,12/19,12/20,12/23,12/24,12/26,12/27,12/30,12/31
평균,,12400,13000,12400,12400,12800,12800,12800,12800,12200,12400,12200,12200,12000,12000,12000,11800,11600,11600,11600,11600,11600,11800,11800,11800,11800,11800,12000,12000,12000,12400,12600,12600,12600,12600,12800,12800,12800,12800,12800,12400,12400,12600,12600,12800,12600,12400,12400,12400,12400,12600,12800,12600,12400,12400,12200,12400,12200,12200,12000,12000,12000,11800,12400,12000,12000,12000,12000,12000,12000,12000,12000,11400,11400,11400,11200,10100,10150,10250,10300,10300,10250,10250,10150,8100,8100,7800,7800,7500,7300,7500,8000,8200,7900,7500,7500,7300,5900,5900,5200,5300,5600,6100,5600,5600,5500,5100,5100,5100,5100,5200,5200,5500,5500,5300,5600,6200,5800,5700,5200,5000,4800,4800,4800,5000,5500,5600,5600,5400,5000,4900,4900,4800,4800,5100,5900,5700,6200,6000,6400,7200,7300,7700,7600,8800,9600,9600,9900,9900,11200,11000,11200,11800,12200,11800,12000,12400,12600,14800,14800,15200,15200,15700,16400,16400,16200,15600,15600,14400,14600,14600,13400,13400,13400,14200,13800,13600,13200,13300,13300,11800,10700,10500,9400,8800,8800,8000,7800,7700,6600,6600,5900,6000,5600,5600,5400,5000,5000,5000,5000,5000,5000,4900,4900,4450,4450,4450,4250,4250,4250,4250,4250,4650,5200,5200,5200,5400,5600,6000,6000,6300,6400,6600,6500,6400,6500,7000,7100,6900,6400,6100,6100,6000,5600,5100,5000,4900,4600,4600,4400,4400,4400,4400,4400,4400,4400,4400,4400,4600
평년,,4275,4620,4597,6621,6577,6548,6114,6041,6024,6024,6010,5633,5653,5510,4879,4870,4854,4858,4694,5050,5034,5013,5091,5447,5733,5843,5879,5905,6312,5950,5950,5974,6235,6294,6361,6441,6523,6807,6839,6943,7066,7658,7871,8107,8215,8305,8382,8405,8371,8364,8403,8687,8907,9043,9137,9296,9710,9742,9828,9833,9827,10100,10266,10473,10642,10655,10778,10903,11117,11147,11050,10898,10887,11007,11437,11363,9400,8758,8796,8781,8690,8324,8168,8014,7806,8084,7820,7697,6905,6820,5440,5495,5521,5474,5168,5059,5064,4983,4937,4713,4569,4574,4587,4560,4418,4386,4395,4358,4185,4099,3968,3865,3836,3821,3913,3961,3993,4090,4038,4192,4327,4320,4358,4793,4943,5013,5047,5157,5697,5843,5855,6052,6127,6424,5652,5551,5652,5629,7437,7537,7563,8286,8331,7604,7684,7830,7867,7872,7840,7893,7957,8045,8195,8518,8550,8653,8725,8453,8387,8313,8292,8358,8593,8760,8857,8958,9058,9443,9582,9652,9748,9795,9877,9857,9877,9895,9988,9728,9690,9427,9378,9378,9292,9172,8827,8770,8695,8652,8293,8053,7447,7233,6860,6782,6688,6585,6442,6230,6162,6045,5928,5815,5327,5242,5228,5182,5130,4921,4874,4811,4787,4762,5392,5067,5156,5503,5551,5209,5332,5468,5558,5662,5746,5743,5727,5734,5743,5733,5711,5769,5883,6045,6087,6122,6131,6102,6108,6112,5989,5930,5911,5902,5830,5880,5881,5902,5683,5816
서울,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,8500,9000,9000,8500,8500,8000,8000,8000,7000,7000,6500,7000,6500,6500,7500,8000,8000,7500,7500,7500,7500,5500,5500,5000,5500,6000,5500,5500,5500,5500,5500,5500,5500,5500,6000,6000,6000,6000,5000,5500,6000,5000,4500,5000,5000,4000,4000,4000,5000,6000,5000,5000,4500,4500,5000,5000,4500,4500,5000,7000,6000,7000,6000,6000,6000,7500,9500,8000,10000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,10000,10000,11000,11000,13000,12000,12000,13000,15000,14000,12000,13000,13000,16000,16000,16000,16000,16500,17000,17000,17000,15000,15000,14000,15000,15000,14000,14000,14000,14000,14000,13000,13000,13500,13500,12000,11500,11500,9000,8000,9000,8000,8000,7500,6000,6000,5500,6000,6000,6000,6000,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,4000,4000,4000,4000,4000,4000,6000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,13000,12000,12000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,4000,4000,4000,4000,4000,4000,4000,4000,6000,5000,5000,5000,6000,7000,6500,6500,7500,8000,8500,7500,7000,7500,8000,8500,7500,7000,6000,6000,7000,6000,5500,5500,5500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
,월동,13000,12000,12000,13000,13000,13000,13000,13000,13000,14000,13000,13000,13000,13000,13000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,13000,13000,14000,14000,14000,13000,12000,12000,12000,12000,13000,14000,13000,13000,13000,13000,13000,13000,13000,12000,12000,12000,12000,13000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,13000,13000,14000,14000,14000,14000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
부산,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,9000,9000,9000,9000,9000,9000,9000,9000,8500,8500,8000,8000,7500,7500,7500,8000,8000,8000,7500,7500,7000,6000,6000,5500,5500,5500,6000,5500,5500,5500,5000,5000,5000,5000,5000,5000,5500,5500,5500,5500,6000,6000,6000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5500,5500,6000,6000,6000,7000,7000,7000,7500,8000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,8500,8500,9000,9000,10000,10000,10000,11000,11000,11000,11000,11000,11000,14000,14000,14000,14000,15000,16000,16000,16000,15000,15000,14000,14000,14000,13000,13000,13000,14000,14000,14000,13000,13000,13000,12000,10000,10000,9000,9000,9000,8000,8000,8000,7000,7000,6000,6000,5500,5500,5500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4500,4500,4500,4500,4500,4500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,12000,12000,12000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,4500,4500,4500,4500,4500,4500,4500,4500,4500,5000,5000,5000,5000,5000,5500,5500,6000,6000,6500,6500,6500,6500,7000,7000,7000,6500,6000,6000,6000,6000,5500,5500,5500,5000,5000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
,월동,12000,12000,12000,12000,12000,12000,12000,12000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
