구분,,01/02,01/03,01/06,01/07,01/08,01/09,01/10,01/13,01/14,01/15,01/16,01/17,01/20,01/21,01/22,01/23,01/24,01/27,01/28,01/29,02/03,02/04,02/05,02/06,02/07,02/10,02/11,02/12,02/13,02/14,02/17,02/18,02/19,02/20,02/21,02/24,02/25,02/26,02/27,02/28,03/03,03/04,03/05,03/06,03/07,03/10,03/11,03/12,03/13,03/14,03/17,03/18,03/19,03/20,03/21,03/24,03/25,03/26,03/27,03/28,03/31,04/01,04/02,04/03,04/04,04/07,04/08,04/09,04/10,04/11,04/14,04/15,04/16,04/17,04/18,04/21,04/22,04/23,04/24,04/25,04/28,04/29,04/30,05/02,05/07,05/08,05/09,05/12,05/13,05/14,05/15,05/16,05/19,05/20,05/21,05/22,05/23,05/26,05/27,05/28,05/29,05/30,06/02,06/03,06/05,06/09,06/10,06/11,06/12,06/13,06/16,06/17,06/18,06/19,06/20,06/23,06/24,06/25,06/26,06/27,06/30,07/01,07/02,07/03,07/04,07/07,07/08,07/09,07/10,07/11,07/14,07/15,07/16,07/17,07/18,07/21,07/22,07/23,07/24,07/25,07/28,07/29,07/30,07/31,08/04,08/05,08/06,08/07,08/08,08/11,08/12,08/13,08/14,08/18,08/19,08/20,08/21,08/22,08/25,08/26,08/27,08/28,08/29,09/01,09/02,09/03,09/04,09/05,09/11,09/12,09/15,09/17,09/18,09/19,09/22,09/23,09/24,09/25,09/26,09/29,09/30,10/01,10/02,10/06,10/07,10/08,10/10,10/13,10/14,10/15,10/16,10/17,10/20,10/21,10/22,10/23,10/24,10/27,10/28,10/29,10/30,10/31,11/03,11/04,11/05,11/06,11/07,11/10,11/11,11/12,11/13,11/14,11/17,11/18,11/19,11/20,11/21,11/24,11/25,11/26,11/27,11/28,12/02,12/03,12/04,12/05,12/08,12/09,12/10,12/11,12/12,12/15,12/16,12/17,12/18,12/19,12/22,12/23,12/24,12/26,12/29,12/30,12/31
평균,,4600,4500,4650,4650,4650,4650,4650,4800,4800,4800,4800,4700,4700,4600,4600,4500,4500,4500,4500,4300,4300,4400,4300,4300,4300,4300,4200,4100,4100,4100,4100,4100,4000,4000,4000,3960,3960,3720,3620,3620,3620,3620,3620,3620,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3300,3300,3400,3400,3400,3400,3500,3500,3500,3500,3500,3350,3380,3380,3430,3280,3280,3280,3260,3260,3210,3210,3160,3160,3100,3100,3200,3200,3200,3200,3400,3600,4300,4340,4440,4440,4480,4480,5080,5080,5280,5280,5280,5500,5600,5600,5600,5600,5600,5600,5500,5300,5300,5300,5660,5760,6500,6500,6500,7250,7250,7250,7250,7250,7300,7300,7300,8100,8000,8000,7600,7500,7500,7500,7500,7800,7800,7800,7800,7800,7800,7800,7800,8000,8060,8560,9600,9200,8800,8800,8400,7900,7900,7900,7600,7600,7600,7600,7600,6900,6740,6700,6500,6200,5400,5100,5000,4900,4900,4840,4840,4800,4800,4800,4800,4800,4800,4800,4200,4080,4060,4060,4100,4100,4200,4200,4200,4200,4200,4200,4200,4300,4300,4300,4300,4260,4260,4260,4060,4000,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
평년,,5924,4183,8738,7179,7168,7182,7163,7050,7078,7062,7023,6591,6305,6297,5657,5630,5613,5338,5363,6995,7413,7565,7678,7770,7811,8007,8045,8073,8087,8165,8647,8788,8875,8980,9093,9480,9490,9483,9515,9586,9892,9958,10124,10321,10410,10538,10555,10572,10565,10567,10687,10800,10961,11036,11077,11560,11543,11522,11515,11467,11490,11500,11543,11617,11707,11668,11575,11570,11660,11653,11925,12045,12113,12180,12057,10155,10187,10438,10517,10535,10221,9908,9787,9620,9310,9172,8443,8025,7660,7727,7720,7593,7218,6908,6647,6327,6080,5692,5638,5505,5433,5387,5202,5138,5013,4788,4727,4653,4553,4461,4395,4410,4413,4394,4426,4498,4499,4666,4753,4745,5128,5293,5475,5592,5603,5842,5970,6030,5995,6030,6645,6748,5740,5760,5768,7716,7707,7878,7961,8339,8952,8653,8690,8385,8990,9033,9088,9125,9227,9698,9658,9700,9850,9847,9860,9903,9843,9813,10060,10140,10250,10307,10370,10643,10883,11238,11488,11590,12143,12177,12098,11583,11662,11678,11318,11093,10810,10517,10280,9757,9627,9487,9305,8832,8747,8487,7927,7378,7333,7215,7068,6933,6557,6537,6468,6365,6263,5872,5713,5635,5585,4831,4672,4640,4595,4632,4897,5931,5558,5715,5836,6123,5915,5832,5935,6068,6152,6355,6363,6427,6500,6585,6595,6536,6531,6540,6629,6587,6553,6501,6443,6455,6433,6313,6252,6215,6073,6077,6093,6083,6277,5830,5951
서울,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,3500,3500,3500,3500,3500,3500,3500,3800,3800,3800,3800,3800,3800,3500,3500,3500,3500,3500,3500,3500,4000,4500,4700,4700,4700,4900,4900,4900,4900,4900,4900,4900,5000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5800,5800,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,7500,7500,7500,7500,7500,8000,8000,8000,8000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7800,7800,8000,8000,8000,8000,8000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7200,7000,7000,7000,6000,6000,5500,5500,5500,5200,5200,5000,5000,5000,5000,5000,5000,5000,5000,4800,4800,4800,4500,4500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,4500,4500,4500,4500,4500,4500,4500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,5000,4800,4800,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4300,4300,4300,4300,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
,월동,-0,-0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4500,4500,4500,4500,4500,4500,4500,4500,5000,4500,4500,4500,4500,4500,4000,4000,4000,4000,4000,4000,4000,4000,3800,3800,3600,3600,3600,3600,3600,3600,3600,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
부산,봄,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3500,4000,4500,4500,4500,4500,4500,4500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6500,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,여름(고랭지),-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,8000,10000,10000,10000,10000,9000,8000,8000,8000,7500,7500,7500,7500,7500,7000,7000,7000,7000,6500,6000,5500,5500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,4000,4000,4000,4000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,가을,4500,4500,4500,4500,4500,4500,4500,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
,월동,-0,-0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4000,4000,4000,4000,4000,4000,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3000,3000,3000,3000,3000,3000,3000,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
