,관측일,국내 지점번호,일 평균기온,최고기온,최저기온,일 평균 전운량,일조합,일 강수량
0,20090101,156,-2.8,0.3,-4.8,4.5,6.0,2.0
1,20090102,156,-0.5,5.1,-5.1,1.4,9.1,-9.0
2,20090103,156,0.5,7.2,-5.0,0.0,9.1,-9.0
3,20090104,156,1.9,7.3,-2.2,3.5,3.7,-9.0
4,20090105,156,1.4,6.0,-2.1,4.0,3.5,-9.0
5,20090106,156,0.8,5.5,-3.3,4.4,4.3,-9.0
6,20090107,156,1.5,6.7,-1.9,2.6,8.7,-9.0
7,20090108,156,0.6,6.2,-3.7,1.4,8.2,-9.0
8,20090109,156,0.3,4.5,-2.8,3.8,7.3,0.1
9,20090110,156,-2.1,-0.7,-3.2,7.5,2.8,5.5
10,20090111,156,-2.0,1.9,-4.2,8.3,4.5,5.6
11,20090112,156,-2.4,-0.4,-5.3,7.9,2.1,4.6
12,20090113,156,-1.5,1.3,-4.3,6.6,6.3,0.9
13,20090114,156,-1.9,0.8,-4.4,4.6,4.3,0.4
14,20090115,156,-3.5,1.6,-7.9,1.1,8.5,-9.0
15,20090116,156,0.7,6.6,-4.7,5.3,3.7,-9.0
16,20090117,156,3.0,9.7,-3.3,3.6,5.1,-9.0
17,20090118,156,5.8,9.4,2.3,8.0,0.0,7.5
18,20090119,156,4.2,8.1,0.6,3.5,8.5,-9.0
19,20090120,156,4.9,9.9,1.2,7.6,4.1,-9.0
20,20090121,156,4.8,9.1,2.3,7.9,1.7,-9.0
21,20090122,156,4.6,10.9,-0.6,5.6,4.5,-9.0
22,20090123,156,-3.1,4.6,-8.0,7.1,1.3,2.1
23,20090124,156,-5.2,-0.9,-10.0,6.0,1.6,2.6
24,20090125,156,-1.1,2.6,-4.5,6.9,2.8,1.2
25,20090126,156,0.0,4.3,-3.7,4.0,5.7,0.0
26,20090127,156,0.0,6.4,-5.6,0.0,9.5,-9.0
27,20090128,156,3.3,11.6,-3.5,0.4,9.4,-9.0
28,20090129,156,5.0,10.1,0.5,9.4,0.0,1.5
29,20090130,156,8.7,14.3,5.0,7.3,2.4,2.0
30,20090131,156,8.1,15.7,2.2,0.3,9.2,-9.0
31,20090201,156,7.4,12.8,2.4,5.3,6.2,-9.0
32,20090202,156,8.6,13.6,4.5,7.6,1.7,-9.0
33,20090203,156,7.9,11.1,3.9,6.3,0.5,3.0
34,20090204,156,7.0,12.8,2.9,4.9,4.1,-9.0
35,20090205,156,5.7,10.9,0.6,4.0,4.5,-9.0
36,20090206,156,5.3,11.0,1.1,0.9,6.0,-9.0
37,20090207,156,5.1,13.2,0.0,2.5,6.8,-9.0
38,20090208,156,6.2,14.1,1.5,1.1,8.8,-9.0
39,20090209,156,4.7,8.9,2.5,5.4,3.2,0.1
40,20090210,156,5.1,8.8,2.1,7.1,0.0,-9.0
41,20090211,156,8.0,16.1,3.0,3.1,6.9,-9.0
42,20090212,156,10.5,17.2,-0.1,7.0,2.8,-9.0
43,20090213,156,14.6,18.9,6.8,10.0,0.0,33.5
44,20090214,156,8.0,15.5,4.0,3.8,7.6,-9.0
45,20090215,156,3.4,7.6,-0.6,6.4,2.1,0.3
46,20090216,156,-0.4,4.3,-3.5,5.8,9.3,-9.0
47,20090217,156,-0.9,3.6,-4.8,2.6,9.6,-9.0
48,20090218,156,1.4,6.7,-3.0,2.8,9.0,-9.0
49,20090219,156,2.1,5.0,0.0,9.4,0.0,6.5
50,20090220,156,1.7,6.0,-1.6,6.5,2.9,0.5
51,20090221,156,1.7,8.0,-3.7,3.5,9.2,-9.0
52,20090222,156,4.3,6.9,0.1,9.1,0.0,20.0
53,20090223,156,8.4,13.6,3.1,6.3,5.2,-9.0
54,20090224,156,11.2,15.5,8.0,10.0,0.5,2.0
55,20090225,156,6.6,10.5,1.7,8.5,0.9,6.0
56,20090226,156,5.6,11.2,1.4,9.3,1.6,-9.0
57,20090227,156,6.2,10.5,2.8,8.3,3.5,-9.0
58,20090228,156,5.7,12.8,0.2,5.9,6.6,-9.0
59,20090301,156,5.6,12.9,1.1,0.5,9.8,-9.0
