구분,01/02,01/03,01/04,01/05,01/08,01/09,01/10,01/11,01/12,01/15,01/16,01/17,01/18,01/19,01/22,01/23,01/24,01/25,01/26,01/29,01/30,01/31,02/01,02/02,02/05,02/06,02/07,02/08,02/09,02/12,02/13,02/14,02/19,02/20,02/21,02/22,02/23,02/26,02/27,02/28,03/02,03/05,03/06,03/07,03/08,03/09,03/12,03/13,03/14,03/15,03/16,03/19,03/20,03/21,03/22,03/23,03/26,03/27,03/28,03/29,03/30,04/02,04/03,04/04,04/05,04/06,04/09,04/10,04/11,04/12,04/13,04/16,04/17,04/18,04/19,04/20,04/23,04/24,04/25,04/26,04/27,04/30,05/02,05/03,05/04,05/08,05/09,05/10,05/11,05/14,05/15,05/16,05/17,05/18,05/21,05/23,05/24,05/25,05/28,05/29,05/30,05/31,06/01,06/04,06/05,06/07,06/08,06/11,06/12,06/14,06/15,06/18,06/19,06/20,06/21,06/22,06/25,06/26,06/27,06/28,06/29,07/02,07/03,07/04,07/05,07/06,07/09,07/10,07/11,07/12,07/13,07/16,07/17,07/18,07/19,07/20,07/23,07/24,07/25,07/26,07/27,07/30,07/31,08/01,08/02,08/03,08/06,08/07,08/08,08/09,08/10,08/13,08/14,08/16,08/17,08/20,08/21,08/22,08/23,08/24,08/27,08/28,08/29,08/30,08/31,09/03,09/04,09/05,09/06,09/07,09/10,09/11,09/12,09/13,09/14,09/17,09/18,09/19,09/20,09/21,09/27,09/28,10/01,10/02,10/04,10/05,10/08,10/10,10/11,10/12,10/15,10/16,10/17,10/18,10/19,10/22,10/23,10/24,10/25,10/26,10/29,10/30,10/31,11/01,11/02,11/05,11/06,11/07,11/08,11/09,11/12,11/13,11/14,11/15,11/16,11/19,11/20,11/21,11/22,11/23,11/26,11/27,11/28,11/29,11/30,12/03,12/04,12/05,12/06,12/10,12/11,12/12,12/13,12/14,12/17,12/18,12/19,12/20,12/21,12/24,12/26,12/27,12/28,12/31
평균,18150,18150,18000,17850,17850,17850,17850,17850,18000,17850,17850,18000,18000,18000,17775,17775,17775,17775,18075,18075,18075,17700,17700,17700,17550,17400,17400,17400,17400,17100,16950,17250,16950,16800,16800,15900,15900,15900,15900,15600,15300,15300,15150,15150,15000,13950,14250,14100,13950,13950,13950,13200,13050,12900,12900,12600,12600,12300,12300,12000,11700,11250,11250,11100,10650,10650,10050,9900,9900,10200,10200,10050,10050,9900,9600,13350,13500,14250,15300,15600,15450,15450,15300,15450,15300,13950,13650,13650,13650,13350,13050,12450,12300,12150,11700,12000,12000,10800,9900,9900,9900,10050,10050,10200,10200,11250,11250,10650,10950,11100,11100,11100,10950,10650,10575,10350,10050,9750,9750,9750,9750,9750,9750,9900,9750,9600,9600,9900,10050,10200,10200,10350,10350,10350,10200,10200,10350,9750,9750,9750,9690,9990,10050,10050,10050,10500,10950,10950,11550,11400,11700,12150,11700,11850,11850,12150,12150,12150,11850,11850,12150,11850,11850,11850,11250,11700,11550,11550,11700,12000,12150,12150,11850,11850,11850,11850,11850,11400,11400,11400,11250,11400,11400,11100,11100,11100,11100,11100,10800,10800,11100,11100,10875,10725,10875,10875,10575,10575,10200,10200,10200,10350,10500,10650,10650,10650,10950,10950,10950,10800,10800,10800,10800,11100,10350,10350,10575,10275,10275,9975,9975,9975,9975,9975,9975,9900,10200,10050,10050,10050,10050,10050,10050,10050,10050,9900,9900,9750,9750,9750,9750,9750,9600,9600
평년,16170,16270,16375,16590,16875,16950,17070,17205,17190,17293,17380,17460,17543,17605,17663,17680,17710,17740,17750,17870,17973,18133,18373,18468,18673,18720,18740,18753,18763,18755,18775,18805,18603,18550,18528,18518,18550,18513,18510,18545,18645,18803,18773,18780,18790,18800,18831,18813,18798,18758,18670,18340,18208,18081,18055,18080,18077,18285,18558,18710,18760,18745,18655,18528,18398,18390,18466,18428,18258,18128,17980,17905,17845,17805,17075,15965,14738,14520,14110,13850,13770,13888,13555,12708,12220,12910,13020,13083,13250,13020,12763,12473,12245,12103,11965,12005,12035,12065,12283,12270,12243,12223,12230,12375,12493,12418,12415,12485,12485,12508,12505,12680,12813,12810,12600,12503,12588,12625,12630,12590,12645,12840,12915,12935,12955,12990,12975,12945,12883,12843,12838,12925,12915,12925,12905,12935,13180,13260,13323,13403,13460,13788,13858,13923,13963,14023,14148,14143,14160,14200,14235,14303,14375,14490,14540,14820,14928,15040,15120,15200,15313,15330,15360,15460,15520,15665,15640,15660,15640,15618,15605,15635,15680,15710,15728,15715,15718,15730,15730,15730,15630,15588,15533,15513,15550,15600,15700,15730,15750,15750,15843,15883,15910,15940,15970,16053,16060,16060,16060,16050,16025,16030,16030,16030,16030,16163,16198,16260,16340,16403,16395,16360,16350,16340,16340,16375,16380,16390,16400,16370,16300,16295,16280,16230,16225,16240,16213,16170,16150,16090,16010,15970,15910,15853,15700,15623,15530,15480,15443,15450,15440,15440,15435,15473
서울,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,17250,17250,17250,17250,18750,18750,18750,18750,18750,18750,18000,18000,18000,18000,18000,16500,16500,18000,18000,18000,18000,16500,16500,16500,16500,15000,13500,13500,13500,13500,13500,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,10500,10500,10500,10500,10500,10500,10500,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,13500,13500,15000,16500,16500,16500,16500,16500,16500,16500,13500,12000,12000,12000,10500,10500,10500,10500,10500,9000,10500,10500,9750,9000,9000,9000,9000,9000,9000,9000,10500,10500,10500,12000,12000,11250,11250,11250,10500,10500,10500,9750,9750,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,9750,9750,9750,9750,9750,9750,9750,9750,9750,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,10500,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,9750,9750,9000,9000,9000,9000,9000,9750,9750,9750,11250,11250,11250,10500,10500,10500,10500,10500,9750,9750,10500,10500,10500,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9000,9000,9000,9000,9000,9000,9000
부산,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,17625,17625,17625,17625,17625,17625,17625,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,16500,16500,16500,16500,16500,16500,16500,15750,15750,15750,15000,15000,14250,14250,14250,14250,13500,13500,13500,13500,13500,13500,13500,13500,13500,12750,12750,12750,12000,12000,12000,10500,10500,10500,10500,10500,10500,10500,10500,9000,12750,13500,13500,13500,15000,15000,15000,15000,15000,15000,14250,14250,14250,14250,14250,14250,11250,11250,11250,11250,11250,11250,11250,10500,10500,10500,10500,10500,10500,10500,11250,11250,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,9750,9750,9750,9750,9750,9750,9750,9750,9750,10500,10500,10500,10500,10500,11250,11250,11250,11250,11250,11250,12000,12000,12000,12000,12000,12000,12000,11250,11250,11250,11250,11250,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,9750,9750
대구,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,16500,16500,16500,16500,16500,16500,16500,16500,16500,15000,15000,15000,12750,15000,15000,15000,15000,15000,13500,13500,12750,12750,12750,12750,12750,12750,11250,10500,10500,10500,10500,10500,10500,9750,9750,9750,9750,9750,9750,9750,9750,9750,13500,13500,14250,15750,15750,15750,15750,15750,15750,15750,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14250,14250,11250,9750,9750,9750,10500,10500,10500,10500,12000,12000,10500,10500,11250,11250,11250,11250,11250,10500,10500,9750,9000,9000,8250,8250,8250,8250,9000,9000,9000,9000,9750,9750,10500,10500,10500,10500,10500,9750,9750,9750,9000,9000,9000,9000,9000,9750,9750,9750,9750,9750,9750,11250,11250,11250,11250,10500,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10125,10125,10125,10125,10125,10125,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9000,9000,9375,9375,9375,9375,9375,9375,9375,9375,9375,9750,10500,10500,10500,10500,10500,10500,10500,10500,10500,9750,9750,9750,9750,9750,9750,9750,9750,9750
광주,18000,18000,17250,17250,17250,17250,17250,17250,18000,17250,17250,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,17250,17250,17250,17250,17250,17250,17250,17250,17250,16500,16500,15000,15000,15000,12750,12750,13500,13500,13500,13500,13500,15000,15000,15000,14250,14250,14250,14250,14250,14250,13500,12750,12750,12750,11250,11250,11250,11250,11250,11250,10500,10500,10500,9750,9750,9750,9750,9750,11250,11250,10500,10500,9750,9750,13500,12750,13500,15000,14250,13500,14250,13500,14250,13500,12000,12000,12000,12000,12000,11250,11250,11250,11250,11250,12000,12000,10500,9750,9750,9750,9750,9750,10500,10500,11250,11250,10500,10500,10500,11250,11250,10500,10500,10500,9750,9750,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9750,9750,9750,9750,10500,10500,10500,10500,10500,10500,9750,9750,9750,9750,11250,9750,9750,9750,11250,9750,9750,11250,11250,11250,12000,12000,12000,12000,13500,13500,13500,12000,12000,13500,12000,12000,12000,11250,12000,11250,11250,12000,12750,13500,13500,12000,12000,12000,12000,12000,11250,11250,11250,11250,12000,12000,11250,11250,11250,11250,11250,10500,10500,11250,11250,11250,10500,10500,10500,10500,10500,9750,9750,9750,10500,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,12750,12750,12750,12750,11250,11250,10500,10500,10500,10500,10500,10500,9750,10500,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750
대전,18750,18750,18750,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,16500,16500,16500,16500,16500,16500,16500,15750,15750,15000,15000,14250,14250,14250,13500,13500,13500,13500,13500,13500,13500,13500,13500,13500,12000,12000,12000,12000,12000,11250,10500,10500,10500,10500,10500,10500,10500,10500,13500,14250,15000,15750,16500,16500,15750,15750,15750,15750,15000,15000,15000,15000,15000,14250,14250,13500,12750,12000,12000,12000,11250,10500,10500,10500,10500,10500,10500,10500,11250,11250,11250,11250,11250,11250,11250,11250,10500,10875,10500,10500,10500,9750,10500,10500,10500,10500,10500,9750,9000,9000,9000,9750,9750,9750,9750,9750,9750,9750,9750,10500,10500,10500,10500,10200,10200,11250,11250,11250,12000,12750,12750,12750,12000,13500,14250,12750,12750,12750,12750,12750,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11250,11250,11250,11250,11250,10500,10500,11250,11250,10500,10500,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750,9750
