,관측일,국내 지점번호,일 평균기온,최고기온,최저기온,일 평균 전운량,일조합,일 강수량
0,20090101,212,-8.6,-1.4,-14.5,-9.0,7.7,-9.0
1,20090102,212,-7.6,0.9,-14.0,-9.0,7.7,-9.0
2,20090103,212,-6.1,3.5,-13.0,-9.0,7.7,-9.0
3,20090104,212,-4.1,5.1,-9.9,-9.0,7.5,-9.0
4,20090105,212,-5.1,2.1,-10.4,-9.0,6.7,-9.0
5,20090106,212,-5.5,2.5,-12.2,-9.0,6.4,-9.0
6,20090107,212,-4.8,4.7,-11.0,-9.0,7.8,-9.0
7,20090108,212,-5.5,4.1,-11.3,-9.0,6.3,-9.0
8,20090109,212,-7.1,1.5,-11.8,-9.0,5.5,-9.0
9,20090110,212,-9.4,-2.8,-15.2,-9.0,7.8,-9.0
10,20090111,212,-9.2,-2.8,-15.7,-9.0,7.8,-9.0
11,20090112,212,-9.1,-3.8,-15.3,-9.0,5.8,-9.0
12,20090113,212,-9.8,-1.8,-16.1,-9.0,7.9,-9.0
13,20090114,212,-9.8,-2.5,-15.5,-9.0,8.0,-9.0
14,20090115,212,-10.6,-2.1,-18.2,-9.0,8.1,-9.0
15,20090116,212,-6.7,0.0,-11.1,-9.0,1.6,0.2
16,20090117,212,-6.5,0.5,-11.1,-9.0,3.1,-9.0
17,20090118,212,-2.3,2.9,-6.9,-9.0,0.4,0.1
18,20090119,212,-1.3,5.3,-6.6,-9.0,7.4,-9.0
19,20090120,212,-1.0,7.1,-7.0,-9.0,6.7,-9.0
20,20090121,212,0.6,5.6,-2.4,-9.0,0.6,-9.0
21,20090122,212,1.0,9.2,-5.9,-9.0,6.4,0.0
22,20090123,212,-8.1,3.0,-12.2,-9.0,8.3,-9.0
23,20090124,212,-10.2,-4.8,-16.1,-9.0,3.0,0.0
24,20090125,212,-7.3,-1.1,-15.0,-9.0,5.8,0.1
25,20090126,212,-4.3,0.3,-8.3,-9.0,4.5,0.0
26,20090127,212,-6.3,3.4,-13.7,-9.0,7.5,-9.0
