,관측일,국내 지점번호,일 평균기온,최고기온,최저기온,일 평균 전운량,일조합,일 강수량
0,20090101,100,-11.5,-2.9,-18.6,0.0,8.7,-9.0
1,20090102,100,-10.2,-0.3,-18.4,0.0,8.7,-9.0
2,20090103,100,-8.0,2.0,-17.7,0.5,8.7,-9.0
3,20090104,100,-5.4,2.3,-11.1,1.5,7.4,-9.0
4,20090105,100,-7.3,-1.5,-13.0,0.1,8.0,-9.0
5,20090106,100,-8.0,1.9,-17.5,2.5,7.4,-9.0
6,20090107,100,-6.1,3.0,-15.4,1.8,8.4,-9.0
7,20090108,100,-5.7,4.3,-12.9,4.1,7.5,-9.0
8,20090109,100,-7.3,-3.0,-11.7,5.5,0.4,-9.0
9,20090110,100,-11.5,-7.2,-15.3,0.9,8.9,-9.0
10,20090111,100,-12.5,-8.6,-16.1,0.0,9.0,-9.0
11,20090112,100,-13.6,-9.2,-17.1,1.8,8.5,-9.0
12,20090113,100,-11.3,-5.6,-16.8,0.1,9.0,-9.0
13,20090114,100,-11.1,-7.4,-17.7,0.3,8.8,-9.0
14,20090115,100,-11.7,-5.2,-18.5,0.0,9.0,-9.0
15,20090116,100,-7.5,-4.1,-11.5,5.3,1.7,0.6
16,20090117,100,-5.8,-0.1,-10.2,1.0,8.2,-9.0
17,20090118,100,-0.5,1.8,-7.4,6.8,2.7,4.9
18,20090119,100,-4.4,-1.3,-8.1,0.8,8.9,-9.0
19,20090120,100,-2.3,4.4,-8.3,5.3,7.5,-9.0
20,20090121,100,-1.1,2.5,-4.6,5.9,3.2,-9.0
21,20090122,100,-1.9,4.1,-10.4,3.9,7.5,-9.0
22,20090123,100,-12.3,1.1,-16.7,0.9,8.8,-9.0
23,20090124,100,-13.1,-10.3,-17.8,5.3,5.5,0.2
24,20090125,100,-9.3,-6.5,-13.9,5.0,6.1,1.5
25,20090126,100,-7.9,-5.8,-10.0,5.5,3.8,0.3
26,20090127,100,-8.6,-2.0,-14.4,0.0,9.4,-9.0
27,20090128,100,-5.6,3.9,-17.3,0.3,9.2,-9.0
28,20090129,100,-2.7,4.7,-10.2,8.6,1.6,-9.0
29,20090130,100,0.6,1.8,-0.1,10.0,0.0,3.0
30,20090131,100,-1.7,0.1,-2.8,10.0,0.0,14.1
31,20090201,100,-1.4,2.9,-4.6,8.0,3.9,0.0
32,20090202,100,0.7,3.8,-5.5,6.6,1.8,-9.0
