구분,01/02,01/05,01/06,01/07,01/08,01/09,01/12,01/13,01/14,01/15,01/16,01/19,01/20,01/21,01/22,01/23,01/28,01/29,01/30,02/02,02/03,02/04,02/05,02/06,02/09,02/10,02/11,02/12,02/13,02/16,02/17,02/18,02/19,02/20,02/23,02/24,02/25,02/26,02/27,03/02,03/03,03/04,03/05,03/06,03/09,03/10,03/11,03/12,03/13,03/16,03/17,03/18,03/19,03/20,03/23,03/24,03/25,03/26,03/27,03/30,03/31,04/01,04/02,04/03,04/06,04/07,04/08,04/09,04/10,04/13,04/14,04/15,04/16,04/17,04/20,04/21,04/22,04/23,04/24,04/27,04/28,04/29,04/30,05/04,05/06,05/07,05/08,05/11,05/12,05/13,05/14,05/15,05/18,05/19,05/20,05/21,05/22,05/25,05/26,05/27,05/28,05/29,06/01,06/02,06/03,06/04,06/05,06/08,06/09,06/10,06/11,06/12,06/15,06/16,06/17,06/18,06/19,06/22,06/23,06/24,06/25,06/26,06/29,06/30,07/01,07/02,07/03,07/06,07/07,07/08,07/09,07/10,07/13,07/14,07/15,07/16,07/17,07/20,07/21,07/22,07/23,07/24,07/27,07/28,07/29,07/30,07/31,08/03,08/04,08/05,08/06,08/07,08/10,08/11,08/12,08/13,08/14,08/17,08/18,08/19,08/20,08/21,08/24,08/25,08/26,08/27,08/28,08/31,09/01,09/02,09/03,09/04,09/07,09/08,09/09,09/10,09/11,09/14,09/15,09/16,09/17,09/18,09/21,09/22,09/23,09/24,09/25,09/28,09/29,09/30,10/01,10/05,10/06,10/07,10/08,10/09,10/12,10/13,10/14,10/15,10/16,10/19,10/20,10/21,10/22,10/23,10/26,10/27,10/28,10/29,10/30,11/02,11/03,11/04,11/05,11/06,11/09,11/10,11/11,11/12,11/13,11/16,11/17,11/18,11/19,11/20,11/23,11/24,11/25,11/26,11/27,11/30,12/02,12/03,12/04,12/07,12/08,12/09,12/10,12/11,12/14,12/15,12/16,12/17,12/18,12/21,12/22,12/23,12/24,12/28,12/29,12/30,12/31
평균,980,960,960,940,960,960,1000,1000,980,1000,980,1020,1020,1060,1120,1200,1200,1140,1120,1080,1000,980,1020,980,980,980,960,980,960,960,960,940,940,940,1000,1020,980,1000,1000,980,980,1000,980,980,980,980,980,980,980,900,920,920,840,800,820,880,920,900,870,940,940,940,910,910,940,940,960,940,920,920,1000,960,1000,1060,1020,1140,1120,1120,1100,1100,1040,1040,1020,1100,1100,1080,1080,1180,1220,1240,1220,1180,1180,1180,1210,1270,1270,1360,1380,1400,1360,1260,1440,1520,1620,1640,1600,1660,1680,1760,1760,1740,1640,1660,1520,1500,1620,1620,1720,1740,1740,1640,1680,1720,1600,1620,1540,1600,1620,1600,1580,1540,1580,1600,1640,1580,1540,1640,1640,1560,1540,1520,1560,1480,1480,1480,1400,1600,1620,1640,1660,1700,1740,1780,1860,1880,1800,1760,1600,1500,1380,1520,1600,1680,1680,1620,1700,1720,1640,1640,1660,1640,1680,1720,1760,1780,1860,1860,1820,1740,1700,1680,1700,1680,1660,1600,1520,1540,1580,1600,1700,1700,1700,1580,1560,1520,1620,1560,1560,1500,1460,1480,1480,1440,1400,1400,1520,1480,1440,1400,1420,1500,1580,1580,1580,1540,1500,1500,1460,1440,1440,1680,1620,1560,1560,1580,1640,1620,1600,1560,1480,1560,1500,1500,1500,1540,1520,1480,1460,1440,1420,1440,1440,1440,1440,1420,1440,1440,1420,1460,1460,1500,1500
평년,1236,1258,1254,1245,1235,1221,1185,1186,1186,1192,1205,1246,1264,1285,1288,1292,1283,1255,1235,1220,1226,1250,1262,1274,1296,1297,1306,1309,1312,1358,1400,1437,1468,1489,1489,1480,1486,1488,1495,1501,1507,1525,1543,1568,1602,1612,1614,1603,1590,1557,1533,1507,1475,1447,1384,1350,1310,1274,1249,1183,1167,1151,1134,1120,1108,1098,1080,1064,1045,989,966,944,928,914,891,891,877,867,857,832,812,800,802,836,842,862,878,878,874,855,847,851,842,837,831,825,821,844,853,862,863,867,919,930,931,935,933,922,910,911,896,886,882,882,878,880,871,833,825,816,806,797,773,773,771,769,765,774,786,785,791,809,881,925,937,931,927,885,884,892,910,903,911,923,930,922,917,962,980,980,992,1025,1071,1067,1079,1093,1088,1122,1131,1151,1186,1204,1223,1219,1189,1181,1189,1201,1189,1197,1216,1218,1255,1256,1263,1254,1244,1282,1289,1285,1280,1281,1302,1288,1275,1271,1258,1185,1188,1201,1206,1241,1237,1231,1232,1226,1199,1179,1171,1175,1171,1180,1189,1197,1196,1194,1160,1137,1115,1103,1093,1074,1071,1072,1071,1071,1072,1055,1045,1042,1043,1050,1061,1072,1085,1088,1091,1090,1086,1078,1071,1059,1061,1058,1061,1092,1094,1100,1120,1119,1101,1116,1128,1125,1118,1119,1113,1115,1113,1100,1095,1102,1106
서울,1100,1100,1000,900,1000,1000,1000,1000,900,1000,1000,1200,1200,1200,1300,1400,1400,1200,1200,1000,900,800,900,800,900,900,900,1000,1000,1000,1000,900,1000,1000,1200,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,900,1000,1000,900,800,900,1100,1000,900,900,900,900,850,850,900,900,900,900,900,1000,1200,1000,1200,1200,1000,1200,1000,1000,900,1000,1000,900,800,1000,1200,1100,1000,1200,1200,1300,1200,1200,1200,1200,1300,1350,1350,1400,1400,1500,1500,1500,1900,1900,1900,1800,1800,1700,1800,1800,1900,1800,1700,1900,1700,1600,1600,1600,1500,1500,1400,1300,1500,1800,1400,1500,1400,1600,1500,1400,1500,1500,1500,1600,1800,1600,1700,1900,1900,1500,1500,1500,1500,1600,1500,1500,1200,1600,1600,1500,1500,1600,1600,1800,1900,1900,1700,1500,1300,1300,1200,1600,1700,1700,1700,1700,1800,1800,1600,1600,1700,1600,1600,1700,1600,1600,1800,1800,1600,1700,1700,1600,1700,1700,1600,1600,1500,1600,1600,1700,1800,1800,1900,1800,1800,1900,1700,1600,1600,1800,1700,1700,1600,1600,1500,1700,1700,1500,1500,1500,1600,1500,1600,1600,1700,1700,1600,1600,1500,1400,1400,2000,1800,1500,1500,1600,1600,1600,1500,1500,1500,1600,1400,1400,1400,1400,1400,1400,1400,1400,1300,1300,1200,1200,1300,1200,1300,1400,1400,1400,1400,1500,1500
부산,900,900,900,900,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1200,1400,1400,1400,1200,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,900,900,900,700,700,800,900,900,900,900,1000,1000,1000,1000,1000,1000,1000,1000,900,800,800,900,900,900,1100,1100,1200,1200,1200,1200,1200,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1200,1100,1200,1200,1200,1400,1400,1600,1600,1600,1600,1300,1500,1500,1800,1800,1800,1800,1800,1800,1800,1800,1600,1600,1400,1400,1700,1700,1900,1900,1900,1700,1700,1700,1700,1700,1700,1700,1700,1700,1500,1500,1700,1700,1700,1700,1500,1900,1900,1900,1900,1900,1900,1600,1600,1600,1600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1600,1400,1500,1500,1700,1700,1500,1500,1800,1800,1800,1800,1800,1800,1800,2000,2000,2000,2000,2000,1800,1800,1800,1800,1600,1600,1600,1600,1600,1600,1600,1700,1700,1700,1500,1500,1500,1800,1800,1800,1500,1500,1500,1500,1300,1300,1300,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1800,1600,1600,1600,1600,1800,1800,1800,1800,1600,1600,1600,1600,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400
대구,1000,900,900,900,900,900,1000,1000,1000,1000,900,900,900,1100,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,900,900,900,900,900,900,1000,1000,1000,1100,1100,1000,1000,1000,900,900,900,900,900,900,900,900,900,900,800,800,800,800,800,800,800,800,800,800,800,800,900,900,900,900,900,900,900,900,900,1000,1000,1000,1200,1200,1100,1000,1000,1000,1000,1000,1000,1000,1100,1100,1200,1200,1200,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1100,1200,1200,1300,1300,1300,1500,1500,1800,1800,1800,1800,1800,1500,1500,1400,1400,1500,1600,1600,1600,1600,1600,1700,1700,1700,1700,1700,1700,1600,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1300,1300,1300,1300,1300,1400,1400,1300,1400,1600,1600,1600,1600,1600,1600,1600,1600,1500,1600,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1500,1500,1400,1400,1400,1400,1300,1300,1300,1400,1400,1300,1300,1300,1300,1300,1300,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1500,1500,1500,1500,1500,1400,1400,1400,1400,1500,1400,1400,1400,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
광주,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1000,1000,1000,1000,1000,900,900,900,800,800,800,800,800,800,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1700,1700,1800,1800,2000,2000,2000,1800,1700,1700,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1700,1700,1700,1700,1700,1700,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1200,1200,1200,1200,1200,1200,1400,1600,1600,1600,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1500,1500
대전,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1100,1100,1200,1100,1100,1100,1000,1000,1000,1000,1000,1000,900,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,900,900,800,900,1000,1000,1000,950,1200,1000,1000,900,900,900,900,1000,1000,1000,900,1000,1000,1000,1000,1000,1200,1100,1100,1200,1200,1000,1100,1100,1300,1100,1100,1100,1400,1400,1400,1400,1400,1300,1300,1350,1400,1400,1400,1500,1500,1300,1200,1400,1600,1700,1900,1700,1800,1800,1900,1800,1800,1600,1500,1500,1500,1700,1700,1900,1900,1800,1600,1600,1700,1500,1500,1400,1500,1700,1700,1800,1700,1800,1800,1800,1700,1600,1500,1500,1500,1400,1300,1500,1400,1500,1500,1400,1600,1600,1800,2000,2000,2000,2000,2300,2400,2200,2200,1800,1500,1400,1500,1500,1700,1700,1700,2000,1800,1800,1800,1800,1800,2000,2100,2200,2300,2500,2500,2500,2000,1800,1800,1800,1900,1900,1600,1500,1500,1700,1700,1900,1900,1800,1600,1500,1300,1700,1500,1500,1400,1400,1500,1500,1500,1500,1500,1800,1800,1700,1500,1500,1800,1800,1800,1700,1500,1400,1400,1400,1400,1400,1700,1700,1700,1700,1700,1800,1800,1800,1600,1400,1600,1600,1600,1600,1700,1700,1600,1500,1400,1400,1500,1600,1600,1600,1600,1600,1500,1500,1700,1700,1700,1700
