구분,01/03,01/04,01/05,01/06,01/07,01/10,01/11,01/12,01/13,01/14,01/17,01/18,01/19,01/20,01/21,01/24,01/25,01/26,01/27,01/28,01/31,02/01,02/07,02/08,02/09,02/10,02/11,02/14,02/15,02/16,02/17,02/18,02/21,02/22,02/23,02/24,02/25,02/28,03/02,03/03,03/04,03/07,03/08,03/09,03/10,03/11,03/14,03/15,03/16,03/17,03/18,03/21,03/22,03/23,03/24,03/25,03/28,03/29,03/30,03/31,04/01,04/04,04/05,04/06,04/07,04/08,04/11,04/12,04/13,04/14,04/15,04/18,04/19,04/20,04/21,04/22,04/25,04/26,04/27,04/28,04/29,05/02,05/03,05/04,05/06,05/09,05/11,05/12,05/13,05/16,05/17,05/18,05/19,05/20,05/23,05/24,05/25,05/26,05/27,05/30,05/31,06/01,06/02,06/03,06/07,06/08,06/09,06/10,06/13,06/14,06/15,06/16,06/17,06/20,06/21,06/22,06/23,06/24,06/27,06/28,06/29,06/30,07/01,07/04,07/05,07/06,07/07,07/08,07/11,07/12,07/13,07/14,07/15,07/18,07/19,07/20,07/21,07/22,07/25,07/26,07/27,07/28,07/29,08/01,08/02,08/03,08/04,08/05,08/08,08/09,08/10,08/11,08/12,08/16,08/17,08/18,08/19,08/22,08/23,08/24,08/25,08/26,08/29,08/30,08/31,09/01,09/02,09/05,09/06,09/07,09/08,09/09,09/14,09/15,09/16,09/19,09/20,09/21,09/22,09/23,09/26,09/27,09/28,09/29,09/30,10/04,10/05,10/06,10/07,10/10,10/11,10/12,10/13,10/14,10/17,10/18,10/19,10/20,10/21,10/24,10/25,10/26,10/27,10/28,10/31,11/01,11/02,11/03,11/04,11/07,11/08,11/09,11/10,11/11,11/14,11/15,11/16,11/17,11/18,11/21,11/22,11/23,11/24,11/25,11/28,11/29,11/30,12/02,12/05,12/06,12/07,12/08,12/09,12/12,12/13,12/14,12/15,12/16,12/19,12/20,12/21,12/22,12/23,12/26,12/27,12/28,12/29,12/30
평균,2880,3120,3020,3220,3420,3420,3420,3240,3100,3020,3640,3600,3340,3540,3740,3840,3800,3660,3660,3440,3440,3340,3340,3260,3100,3000,3000,2860,2860,2720,2700,2680,2600,2480,2380,2360,2340,2400,2840,2940,2960,2900,2840,2780,2620,2560,2400,2320,2240,2220,2340,2340,2260,2260,2260,2240,2020,1960,1880,1900,1780,1680,1660,1660,1600,1560,1560,1480,1520,1360,1280,1240,1280,1340,1290,1230,1230,1264,1180,1180,1140,1080,1040,1040,1040,1130,1170,1170,1170,1040,1040,1040,1020,880,990,940,940,960,940,1020,1020,1000,980,840,960,940,940,940,880,880,780,740,740,760,760,790,1010,1010,940,890,890,890,840,830,830,830,870,910,1040,1100,1180,1160,1160,1100,1080,1120,1080,1020,1140,1200,1200,1140,1140,1200,1220,1160,1140,1160,1160,1140,1220,1300,1260,1280,1280,1340,1340,1400,1440,1460,1460,1440,1420,1400,1400,1400,1400,1440,1600,1700,1720,1760,1760,1820,1880,1720,1660,1660,1460,1380,1380,1380,1340,1360,1420,1380,1380,1380,1380,1280,1300,1200,1180,1180,1220,1200,1180,1160,1160,1140,1140,1140,1140,1040,1040,1032,1020,1040,1120,1120,1220,1160,1160,1160,1160,1160,1160,1160,1160,1160,1140,1180,1200,1200,1140,1100,1100,1020,1020,1020,1020,1020,1020,980,980,960,960,960,960,960,960,1000,1000,1000,1000,1000,1000,1000
평년,1361,1372,1372,1373,1371,1371,1369,1373,1378,1379,1384,1398,1403,1409,1428,1458,1451,1442,1436,1428,1395,1395,1417,1430,1452,1470,1480,1480,1471,1468,1472,1474,1477,1473,1470,1446,1448,1495,1527,1551,1587,1642,1651,1655,1660,1663,1638,1626,1601,1564,1517,1422,1409,1404,1384,1361,1306,1296,1298,1307,1315,1310,1305,1322,1315,1299,1254,1242,1240,1239,1237,1243,1251,1262,1280,1280,1255,1233,1220,1193,1178,1200,1202,1202,1212,1253,1232,1228,1220,1181,1169,1164,1166,1172,1198,1198,1201,1202,1198,1200,1200,1212,1222,1238,1252,1251,1239,1243,1215,1203,1188,1168,1160,1158,1163,1161,1174,1172,1142,1130,1113,1100,1092,1072,1073,1076,1076,1074,1096,1107,1145,1193,1216,1230,1250,1262,1230,1201,1156,1147,1149,1153,1155,1157,1158,1183,1203,1218,1298,1325,1333,1338,1351,1353,1343,1309,1292,1290,1286,1298,1313,1322,1367,1400,1419,1435,1430,1517,1528,1538,1541,1556,1522,1522,1515,1501,1497,1516,1502,1485,1441,1453,1477,1501,1521,1593,1605,1600,1588,1604,1613,1615,1603,1600,1598,1602,1598,1591,1591,1589,1573,1556,1532,1529,1476,1461,1455,1465,1476,1441,1429,1410,1388,1380,1391,1385,1386,1398,1410,1474,1485,1482,1478,1471,1383,1381,1392,1389,1477,1486,1477,1467,1463,1405,1394,1390,1386,1382,1359,1361,1351,1344,1348,1342,1356,1370,1387,1399
서울,2700,2700,2700,3200,3500,3500,3500,3000,3000,3000,3500,3500,3000,3500,3800,3700,3500,3500,3500,3200,3200,3200,3200,3000,2600,3400,3400,3000,3000,2200,2300,2400,2400,2400,2400,2300,2300,2400,2500,2600,2700,2700,2700,2600,2600,2600,2600,2400,2300,2200,2100,2100,2100,2100,2100,2000,2000,2000,1900,1700,1800,1800,1800,1800,1700,1700,1700,1600,1600,1400,1300,1100,1100,1200,1200,1300,1300,1300,1300,1300,1200,1100,1100,1100,1100,1300,1500,1500,1500,1300,1300,1300,1200,1100,1100,1100,1100,1100,1000,1100,1100,1000,1000,1000,1100,1000,1000,1000,1000,1000,900,800,800,900,900,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1300,1400,1400,1400,1300,1200,1200,1200,1200,1400,1600,1600,1500,1500,1300,1300,1300,1200,1300,1400,1400,1500,1500,1400,1400,1400,1600,1600,1700,1600,1600,1600,1600,1600,1500,1500,1500,1500,1700,1900,2100,2100,2100,2100,2100,2100,1800,1500,1500,1500,1500,1500,1500,1400,1500,1800,1500,1500,1500,1500,1500,1500,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1260,1200,1300,1400,1400,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1300,1300,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300
부산,2800,2800,2800,3100,3300,3300,3300,3200,3100,3000,3300,3300,3300,3500,3600,3900,3900,3700,3700,3500,3500,3500,3300,3300,3100,3000,3000,3000,3000,2800,2600,2600,2500,2400,2400,2400,2300,2300,2500,2700,2700,2700,2700,2700,2700,2600,2600,2400,2400,2400,2400,2400,2200,2200,2200,2200,2000,2000,2000,2000,1800,1600,1600,1600,1600,1600,1600,1600,1600,1400,1300,1300,1300,1300,1300,1200,1200,1200,1200,1200,1200,1100,1100,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,900,900,900,900,1000,1000,1000,1000,1000,1000,900,900,900,900,900,900,900,800,800,800,800,800,800,900,900,900,900,900,900,850,850,850,850,850,850,1000,1000,1100,1100,1100,1100,1100,1100,1100,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1300,1300,1300,1300,1300,1400,1400,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1600,1700,1700,1700,1700,1700,1700,1700,1700,1700,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1000,1000,1000,1000,1000,1100,1100,1200,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1200,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
대구,2800,2900,2900,2900,3300,3300,3300,3000,2800,2800,3400,3400,3100,3100,3500,3500,3500,3500,3500,3200,3200,3000,3000,3000,2800,2600,2600,2800,2800,2300,2600,2400,2100,2100,2100,2100,2100,2100,2700,2700,2700,2900,2900,2700,2400,2400,2000,2000,2000,2000,2200,2200,2000,2000,2000,2000,2000,1700,1700,1700,1700,1400,1400,1400,1600,1600,1600,1300,1300,1300,1100,1100,1300,1300,1300,1200,1200,1200,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,900,900,900,900,800,900,900,900,900,900,1100,1100,1100,1000,800,800,800,800,800,800,800,700,700,700,700,700,750,900,900,900,900,900,900,700,700,700,700,900,900,1000,1100,1200,1200,1200,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1100,1100,1200,1200,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1400,1500,1600,1600,1600,1600,1600,1600,1600,1600,1300,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1100,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,900,900,900,900,900,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1100,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
광주,2800,4000,3500,3500,3500,3500,3500,3500,3300,3300,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3500,3500,3500,3500,3000,3000,2500,2500,2500,2500,2500,2300,2300,2300,2300,2300,2500,3000,3000,3000,3000,2700,2700,2700,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2000,2000,2000,1800,1800,1800,1800,1800,1600,1600,1600,1600,1600,1400,1400,1400,1400,1400,1400,1200,1200,1200,1200,1200,1200,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,800,800,800,800,800,900,900,900,900,700,1000,1000,1000,1000,800,800,800,700,700,700,700,750,1000,1000,1000,900,900,900,900,900,900,900,900,900,900,900,1100,1100,1100,1100,1100,1100,1100,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1300,1300,1300,1300,1300,1300,1300,1300,1300,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
대전,3300,3200,3200,3400,3500,3500,3500,3500,3300,3000,4200,4000,3500,3800,4000,4300,4300,3800,3800,3500,3500,3500,3700,3500,3500,3000,3000,3000,3000,3800,3500,3500,3700,3200,2700,2700,2700,2700,3500,3700,3700,3200,3200,3200,2700,2700,2300,2300,2000,2000,2500,2500,2500,2500,2500,2500,2100,2100,1800,2300,1800,1800,1700,1700,1500,1300,1300,1300,1500,1300,1300,1300,1300,1500,1250,1250,1250,1420,1100,1100,1000,1000,1000,1000,1000,1250,1250,1250,1250,1000,1000,1000,1000,800,1250,1000,1000,1000,1000,1000,1000,1000,1000,800,1000,1000,1000,1000,900,900,700,700,700,700,700,750,1250,1250,900,750,750,750,750,700,700,700,700,900,1000,1200,1100,1000,1000,1000,1000,1200,1000,1000,1200,1200,1200,1000,1000,1500,1500,1200,1200,1200,1000,1000,1200,1500,1400,1500,1500,1500,1500,1500,1500,1600,1600,1500,1500,1500,1500,1500,1500,1500,1800,1900,1900,1900,1900,2200,2500,2000,2000,2000,1500,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1300,1400,1400,1300,1300,1400,1300,1300,1200,1200,1200,1200,1200,1200,1000,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1100,1100,1100,1100,1000,1000,1000,900,900,900,900,900,900,900,900,900,900,900,900,900,900,1000,1000,1000,1000,1000,1000,1000
