구분,01/04,01/05,01/06,01/07,01/08,01/11,01/12,01/13,01/14,01/15,01/18,01/19,01/20,01/21,01/22,01/25,01/26,01/27,01/28,01/29,02/01,02/02,02/03,02/04,02/05,02/11,02/12,02/15,02/16,02/17,02/18,02/19,02/22,02/23,02/24,02/25,02/26,02/29,03/02,03/03,03/04,03/07,03/08,03/09,03/10,03/11,03/14,03/15,03/16,03/17,03/18,03/21,03/22,03/23,03/24,03/25,03/28,03/29,03/30,03/31,04/01,04/04,04/05,04/06,04/07,04/08,04/11,04/12,04/14,04/15,04/18,04/19,04/20,04/21,04/22,04/25,04/26,04/27,04/28,04/29,05/02,05/03,05/04,05/09,05/10,05/11,05/12,05/13,05/16,05/17,05/18,05/19,05/20,05/23,05/24,05/25,05/26,05/27,05/30,05/31,06/01,06/02,06/03,06/07,06/08,06/09,06/10,06/13,06/14,06/15,06/16,06/17,06/20,06/21,06/22,06/23,06/24,06/27,06/28,06/29,06/30,07/01,07/04,07/05,07/06,07/07,07/08,07/11,07/12,07/13,07/14,07/15,07/18,07/19,07/20,07/21,07/22,07/25,07/26,07/27,07/28,07/29,08/01,08/02,08/03,08/04,08/05,08/08,08/09,08/10,08/11,08/12,08/16,08/17,08/18,08/19,08/22,08/23,08/24,08/25,08/26,08/29,08/30,08/31,09/01,09/02,09/05,09/06,09/07,09/08,09/09,09/12,09/13,09/19,09/20,09/21,09/22,09/23,09/26,09/27,09/28,09/29,09/30,10/04,10/05,10/06,10/07,10/10,10/11,10/12,10/13,10/14,10/17,10/18,10/19,10/20,10/21,10/24,10/25,10/26,10/27,10/28,10/31,11/01,11/02,11/03,11/04,11/07,11/08,11/09,11/10,11/11,11/14,11/15,11/16,11/17,11/18,11/21,11/22,11/23,11/24,11/25,11/28,11/29,11/30,12/01,12/05,12/06,12/07,12/08,12/09,12/12,12/13,12/14,12/15,12/16,12/19,12/20,12/21,12/22,12/23,12/26,12/27,12/28,12/29,12/30
평균,2050,2030,2030,2030,2030,1970,1970,1970,1970,1930,1970,2100,2270,2210,2230,2670,3020,2970,3120,3360,3400,3400,3500,3500,3500,3340,3140,3180,3080,3080,3180,3300,3150,3150,3110,3110,3070,2910,2860,2860,2910,2950,2900,3140,3100,3050,2960,2900,2800,2740,2740,2560,2540,2500,2460,2500,2460,2380,2300,2300,2300,2450,2390,2390,2440,2320,2390,2430,2430,2430,2430,2430,2430,2430,2430,2340,2090,2090,2090,2170,2350,2520,2370,2370,2420,2420,2470,2420,2430,2290,2210,2340,2240,2220,2220,2220,2300,2170,2110,2210,2230,2130,2130,2070,2030,2030,1940,1920,1920,1840,1840,1800,1840,1840,1840,1820,1820,1740,1760,1700,1620,1680,1740,1740,1740,1740,1740,1690,1700,1660,1580,1570,1640,1600,1600,1510,1450,1450,1450,1410,1410,1410,1410,1410,1440,1560,1800,1920,1820,1740,1740,1740,1940,1890,1950,2050,2100,2100,2040,2040,2040,2220,2380,2280,2460,2460,2540,2480,2320,2280,2160,2160,2680,2300,2540,2680,2630,2530,2470,2440,2330,2180,2230,2230,2230,2410,2410,2410,2370,2370,2370,2410,2370,2370,2370,2270,2220,2220,2240,2300,2260,2120,2250,2250,2310,2360,2340,2340,2330,2330,2290,2290,2300,2340,2340,2260,2450,2450,2470,2470,2510,2490,2490,2490,2440,2460,2460,2460,2460,2480,2500,2500,2500,2500,2460,2460,2440,2600,2720,2720,2560,2560,2560,2520,2560,2600
평년,1692,1690,1688,1693,1684,1634,1620,1610,1593,1577,1533,1529,1537,1537,1528,1513,1515,1522,1541,1543,1602,1616,1621,1637,1661,1818,1823,1837,1824,1817,1809,1812,1761,1757,1770,1787,1801,1560,1856,1860,1857,1843,1839,1828,1821,1815,1802,1802,1791,1782,1780,1781,1762,1737,1725,1720,1690,1660,1630,1593,1567,1535,1513,1502,1501,1493,1493,1479,1446,1437,1419,1412,1409,1408,1404,1388,1386,1383,1383,1387,1405,1399,1403,1498,1524,1549,1565,1562,1533,1520,1513,1517,1526,1541,1552,1559,1567,1580,1637,1647,1663,1678,1663,1607,1591,1589,1585,1572,1566,1563,1562,1559,1499,1492,1499,1507,1506,1527,1541,1544,1538,1538,1526,1515,1497,1497,1488,1424,1427,1436,1441,1448,1459,1442,1430,1427,1426,1413,1410,1410,1402,1401,1389,1402,1415,1417,1437,1530,1551,1561,1564,1573,1579,1574,1574,1575,1599,1602,1624,1628,1624,1645,1648,1649,1645,1649,1664,1688,1709,1726,1737,1734,1747,1794,1770,1737,1718,1719,1778,1772,1776,1775,1754,1666,1645,1612,1593,1538,1525,1512,1492,1473,1419,1418,1419,1410,1401,1379,1375,1373,1371,1377,1389,1393,1397,1400,1409,1415,1417,1418,1417,1411,1461,1473,1479,1478,1495,1524,1521,1529,1536,1545,1558,1553,1550,1553,1644,1671,1670,1676,1675,1653,1651,1650,1661,1659,1620,1603,1592,1581,1575,1558,1553,1551,1545,1542
서울,2500,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2400,2800,2500,2500,3000,3300,3300,3300,3500,3500,3500,3500,3800,3800,3000,2700,2400,2400,2400,2400,3000,3000,3000,3000,3000,3000,2500,2500,2500,2500,2500,2500,2700,2500,2500,2500,2500,2500,2500,2500,2200,2200,2200,2200,2500,2300,2500,2500,2500,2500,2500,2200,2200,2200,2200,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2200,2200,2000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2200,2000,2000,2300,2000,2000,2000,2000,2400,2400,2000,2300,2300,2000,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,2000,2000,2000,2000,1800,1800,1800,1500,1500,1800,1800,1800,1800,1800,1800,1800,1800,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1700,2100,2100,1800,1800,1800,1800,2000,2000,2300,2000,2000,2000,2000,2000,2000,2400,2400,2400,2600,2600,2600,2400,2400,2400,2200,2200,2700,2000,2500,3000,3000,2800,2500,2500,2500,2200,2200,2200,2200,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2300,2300,2300,2300,2300,2300,2000,2300,2300,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2300,2600,2600,2600,2600,2800,2800,2800,2800,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2800,2800,2800,2500,2500,2500,2500,2500,2500
부산,2100,2100,2100,2100,2100,2000,2000,2000,2000,2000,2000,2000,2200,2200,2200,2600,2800,2800,2800,3000,3000,3000,3200,3200,3200,3200,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3200,3200,3200,3000,2700,2700,2700,2700,2600,2600,2400,2400,2400,2400,2300,2300,2300,2300,2500,2500,2500,2500,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2200,2000,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2300,2300,2300,2300,2300,2300,2100,2000,2100,2100,2000,2000,2000,2000,2000,2000,2000,2000,1900,1900,1800,1800,1800,1800,1800,1800,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1600,1600,1600,1600,1600,1600,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1500,1700,1800,1800,1700,1700,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,2000,2000,2000,2200,2200,2400,2500,2500,2500,2300,2300,2400,2200,2400,2400,2400,2400,2400,2400,2300,2100,2100,2100,2100,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2200,2200,2200,2200,2200,2200,2100,2200,2200,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2500,2500,2500,2500,2500,2500,2500,2500,2500
대구,2100,2100,2100,2100,2100,2100,2100,2100,2100,2000,2000,2000,2000,2000,2000,2500,3000,3000,3000,3500,3500,3500,3800,3500,3500,3500,3500,3500,3500,3500,3500,3500,3000,3000,2800,2800,2800,2800,2800,2800,2800,3000,3000,3300,3300,3300,3300,3300,3300,3000,3000,2800,2800,2800,2600,2600,2600,2600,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2000,2000,2200,2200,2400,2500,2500,2500,2500,2500,2500,2500,2500,2500,2300,2300,2300,2200,2200,2200,2200,2200,2200,2300,2400,2400,2400,2300,2200,2200,2100,2000,2000,1900,1900,1900,1900,1900,1900,1800,1800,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1700,1700,1700,1700,1700,1700,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2500,2500,2500,2500,2500,2500,2500,2500,2300,2300,2300,2300,2300,2500,2500,2500,2500,2500,2300,2300,2300,2300,2300,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2500,2500,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2500,2600,2800,2800,2800,2800,2800,2800,2800,2800
광주,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,2000,2250,2250,2250,2250,2500,2750,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2500,2500,3000,3000,2750,2750,2750,2750,2750,2750,2500,2500,2500,2500,2500,2750,2750,2750,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2000,2000,2000,2000,2250,2250,2250,2250,2000,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2000,2000,2000,2000,2250,2500,2250,2250,2500,2500,2750,2500,2750,2250,2250,2500,2500,2500,2500,2500,2500,2250,2250,2250,2250,2250,2250,2250,2250,2250,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,1800,1800,1800,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2500,2500,2000,2000,2000,2000,3000,2500,3000,3000,2750,2500,2500,2500,2250,2000,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2000,2000,2000,2000,2000,2000,2250,2000,2000,2000,2000,2000,2250,2250,2250,2250,2000,2000,2000,2000,2250,2250,2250,2250,2250,2250,2250,2250,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
대전,1800,2000,2000,2000,2000,2000,2000,2000,2000,1900,2100,2100,2100,2100,2200,3000,3500,3000,3500,3800,4000,4000,4000,4000,4000,4000,3500,4000,4000,4000,4000,4000,4000,4000,4000,4000,3800,3500,3500,3500,3750,3750,3500,3750,3750,3500,3500,3500,3000,3000,3000,2700,2600,2600,2600,2500,2500,2500,2200,2200,2200,2500,2500,2500,2750,2500,2300,2500,2500,2500,2500,2500,2500,2500,2500,2250,2250,2250,2250,2250,2500,3000,2500,2500,2500,2500,2500,2500,2500,2500,2300,2300,2100,2100,2100,2100,2100,1900,2100,2100,2100,2000,2000,1800,1700,1700,1600,1600,1600,1600,1600,1500,1500,1500,1500,1500,1700,1500,1600,1600,1200,1200,1500,1500,1500,1500,1500,1250,1300,1500,1300,1250,1600,1400,1400,1250,1250,1250,1250,1250,1250,1250,1250,1250,1400,1700,2000,2500,2300,2000,2000,2000,2500,2250,2250,2250,2500,2500,2200,2200,2200,2500,3000,2500,3000,3000,2700,2500,2200,2000,2000,2000,3000,2500,2500,2500,2500,2450,2450,2300,2300,2300,2300,2300,2300,2500,2500,2500,2300,2300,2300,2500,2300,2300,2300,2100,2100,2100,2200,2500,2300,2000,2000,2250,2250,2500,2500,2500,2200,2200,2000,2000,2300,2500,2500,2300,2500,2500,2500,2500,2500,2400,2400,2400,2200,2300,2300,2300,2300,2400,2500,2500,2500,2500,2300,2300,2300,2600,3000,3000,2500,2500,2500,2300,2500,2700
