구분,01/02,01/03,01/04,01/05,01/08,01/09,01/10,01/11,01/12,01/15,01/16,01/17,01/18,01/19,01/22,01/23,01/24,01/25,01/26,01/29,01/30,01/31,02/01,02/02,02/05,02/06,02/07,02/08,02/09,02/12,02/13,02/14,02/19,02/20,02/21,02/22,02/23,02/26,02/27,02/28,03/02,03/05,03/06,03/07,03/08,03/09,03/12,03/13,03/14,03/15,03/16,03/19,03/20,03/21,03/22,03/23,03/26,03/27,03/28,03/29,03/30,04/02,04/03,04/04,04/05,04/06,04/09,04/10,04/11,04/12,04/13,04/16,04/17,04/18,04/19,04/20,04/23,04/24,04/25,04/26,04/27,04/30,05/02,05/03,05/04,05/08,05/09,05/10,05/11,05/14,05/15,05/16,05/17,05/18,05/21,05/23,05/24,05/25,05/28,05/29,05/30,05/31,06/01,06/04,06/05,06/07,06/08,06/11,06/12,06/14,06/15,06/18,06/19,06/20,06/21,06/22,06/25,06/26,06/27,06/28,06/29,07/02,07/03,07/04,07/05,07/06,07/09,07/10,07/11,07/12,07/13,07/16,07/17,07/18,07/19,07/20,07/23,07/24,07/25,07/26,07/27,07/30,07/31,08/01,08/02,08/03,08/06,08/07,08/08,08/09,08/10,08/13,08/14,08/16,08/17,08/20,08/21,08/22,08/23,08/24,08/27,08/28,08/29,08/30,08/31,09/03,09/04,09/05,09/06,09/07,09/10,09/11,09/12,09/13,09/14,09/17,09/18,09/19,09/20,09/21,09/27,09/28,10/01,10/02,10/04,10/05,10/08,10/10,10/11,10/12,10/15,10/16,10/17,10/18,10/19,10/22,10/23,10/24,10/25,10/26,10/29,10/30,10/31,11/01,11/02,11/05,11/06,11/07,11/08,11/09,11/12,11/13,11/14,11/15,11/16,11/19,11/20,11/21,11/22,11/23,11/26,11/27,11/28,11/29,11/30,12/03,12/04,12/05,12/06,12/10,12/11,12/12,12/13,12/14,12/17,12/18,12/19,12/20,12/21,12/24,12/26,12/27,12/28,12/31
평균,1760,1780,1780,1780,1780,1840,1880,1880,1880,2000,1980,1980,1960,2000,2020,2020,1980,2080,2100,2180,2240,2320,2340,2500,2500,2500,2580,2640,2640,2580,2560,2480,2340,2300,2280,2180,2180,2140,2140,2140,2140,2140,2100,2100,2060,1980,1960,1940,1880,1880,1860,1860,1820,1820,1820,1680,1600,1600,1580,1540,1500,1520,1520,1400,1400,1380,1380,1360,1320,1300,1280,1280,1260,1180,1180,1160,1160,1180,1200,1200,1260,1260,1260,1280,1280,1440,1500,1540,1520,1480,1380,1380,1360,1360,1440,1560,1580,1580,1600,1600,1600,1600,1580,1500,1460,1460,1480,1460,1420,1380,1380,1360,1400,1340,1340,1340,1340,1340,1440,1500,1500,1540,1580,1560,1520,1480,1500,1500,1540,1540,1560,1600,1560,1680,1640,1560,1580,1620,1560,1520,1520,1580,1720,1760,1720,1860,1880,1840,1820,1780,1880,2000,2000,2020,1980,1980,2020,2220,2520,2560,2940,2920,2740,2740,2960,2980,3160,3240,3240,3240,3220,3160,3140,3100,3040,3080,3000,2760,2760,2760,2900,2740,2740,2720,2600,2680,2820,2680,2620,2460,2380,2380,2140,2020,2020,2000,2060,2100,2080,2020,2000,2000,2060,2060,1960,1940,1900,1940,1980,2060,2100,2080,2080,2060,2060,1960,1960,1940,1900,1880,1880,1880,1880,1780,1620,1680,1700,1720,1720,1820,1820,1820,1780,1780,1780,1780,1700,1660,1660,1620,1620,1700,1700,1700
평년,1930,1940,1948,1945,1919,1901,1882,1863,1846,1814,1802,1788,1806,1821,1905,1909,1905,1915,1917,1920,1926,1934,1942,1947,1984,2005,2019,2024,2031,2063,2066,2073,2133,2131,2122,2121,2129,2186,2211,2247,2262,2246,2235,2234,2236,2220,2185,2173,2166,2164,2147,2122,2123,2106,2080,2060,2043,2036,2026,2018,2000,1983,1991,1998,2007,2010,2055,2057,2053,2048,2029,2006,1995,1971,1950,1921,1869,1855,1820,1779,1757,1811,1829,1838,1843,1864,1869,1855,1852,1837,1823,1803,1790,1788,1796,1790,1789,1790,1858,1874,1881,1847,1836,1771,1741,1702,1669,1620,1616,1589,1580,1556,1535,1515,1496,1482,1452,1452,1448,1450,1452,1478,1488,1499,1501,1497,1440,1420,1411,1404,1403,1432,1449,1451,1449,1439,1403,1417,1433,1444,1461,1458,1444,1457,1481,1523,1621,1640,1656,1667,1675,1721,1725,1743,1758,1793,1799,1804,1809,1824,1856,1867,1870,1889,1906,1921,1925,1931,1932,1914,1902,1894,1894,1913,1913,1933,1949,1938,1930,1926,1992,1983,1921,1881,1865,1845,1786,1764,1753,1746,1675,1658,1626,1603,1584,1539,1530,1517,1517,1521,1551,1563,1581,1595,1606,1603,1605,1597,1591,1589,1603,1621,1639,1649,1652,1675,1679,1681,1676,1682,1739,1747,1749,1748,1752,1753,1758,1769,1786,1782,1773,1763,1763,1763,1768,1766,1759,1751,1749,1727,1717,1714,1716,1719
서울,1800,1800,1800,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2300,2000,2300,2300,2300,2300,2300,2600,2700,2700,2500,2500,2500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1800,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1600,1600,1600,1600,1500,1700,1700,1500,1500,1400,1400,1400,1400,1300,1300,1300,1300,1200,1200,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1500,1700,1700,1700,1700,1500,1500,1500,1500,1700,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1600,1600,1600,1600,1400,1400,1400,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1800,1800,1600,1600,1600,1600,1600,1600,1800,1800,1600,1600,1800,1800,1800,1800,1800,1800,2000,2000,2000,2000,2000,2200,2400,2600,2800,2800,2800,2800,2800,2800,3000,3200,3200,3200,3000,3000,3000,3000,3000,3000,3000,3000,2800,2800,2800,3000,2700,3000,3200,2800,2800,3000,3000,2700,2500,2500,2500,2200,2000,2000,2000,2300,2300,2300,2100,2000,2000,2000,2000,2000,2000,2000,2000,2200,2200,2300,2300,2300,2300,2300,2100,2100,2100,2100,2000,2000,2000,2000,1800,1800,2000,2000,2000,2000,2200,2200,2200,2000,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1800
부산,1700,1700,1700,1700,1700,1800,1800,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,2100,2100,2200,2200,2200,2200,2500,2500,2500,2500,2500,2500,2500,2400,2400,2400,2400,2400,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,1600,1600,1600,1500,1500,1500,1500,1500,1300,1300,1300,1300,1300,1300,1300,1300,1300,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1400,1400,1400,1400,1400,1300,1300,1300,1300,1400,1300,1300,1300,1300,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1700,1700,1700,1700,1700,1900,2000,2000,2000,2000,2000,2000,2200,2400,2400,2500,2500,2500,2500,3000,3000,3300,3300,3300,3300,3100,3100,3100,3100,3100,3100,3100,2800,2800,2800,2800,2700,2700,2700,2700,2700,2700,2200,2400,2400,2400,2400,2200,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,2000,2000,2000,2000,2000,2000,2000,2000,1800,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1500,1500,1500,1500,1600,1600,1600
대구,1700,1800,1800,1800,1800,1800,1900,1900,1900,2000,2000,2000,1900,2000,2000,2000,2000,2100,2100,2100,2300,2300,2300,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2300,2300,2200,2200,2200,2200,2200,2200,2200,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1500,1400,1400,1400,1400,1400,1400,1400,1300,1300,1300,1300,1300,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1300,1300,1300,1300,1300,1400,1400,1400,1400,1400,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1100,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1200,1200,1200,1300,1500,1500,1500,1500,1600,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1300,1300,1300,1300,1600,1600,1600,1600,1600,1600,1600,1600,1800,1800,1800,1800,1800,1800,1800,2000,2600,2600,4000,3700,3000,3000,3000,3300,3700,3700,3700,3700,2500,2500,2500,2500,2500,2500,2500,2300,2300,2300,2300,2300,2300,2300,2300,2500,2500,2500,2500,2300,2300,2300,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1400,1400,1400,1400,1400,1400,1600,1600,1600,1400,1400,1500,1500,1500,1500,1500,1500,1600,1600,1600,1600,1400,1400,1400,1400,1400,1400,1400,1400
광주,1700,1700,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,1800,1900,2000,2000,1900,2100,2200,2200,2200,2200,2200,2500,2500,2500,2500,2600,2600,2500,2400,2400,2200,2200,2100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1900,1900,1800,1800,1800,1800,1800,1600,1500,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1300,1300,1300,1200,1200,1200,1200,1200,1100,1100,1100,1100,1100,1100,1100,1100,1200,1200,1300,1400,1400,1400,1400,1300,1300,1200,1200,1400,1400,1400,1400,1400,1400,1400,1400,1500,1400,1400,1400,1500,1500,1400,1400,1400,1300,1300,1300,1300,1300,1300,1200,1200,1200,1300,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600,1500,1400,1500,1600,1800,1800,1900,1900,1900,1900,1800,1900,2000,2000,2000,2000,2000,2000,2100,2300,2300,2500,2500,2500,2500,2500,2500,2600,2800,2800,3000,4000,3700,3400,3200,3200,3400,3000,2800,2800,2800,3000,2800,2700,2700,2500,2700,2900,2700,2500,2500,2300,2300,2100,2000,2000,1900,1900,2100,2000,1900,1900,1900,2100,2100,1900,2000,1900,2000,2000,2200,2200,2100,2100,2100,2100,2100,2100,2000,1800,1800,1800,1800,1800,1700,1500,1600,1600,1700,1700,1800,1800,1800,1700,1700,1700,1700,1700,1600,1600,1600,1600,1700,1700,1700
대전,1900,1900,1900,1900,1900,1900,1900,1900,1900,2300,2200,2200,2200,2200,2200,2200,2100,2100,2100,2100,2500,2600,2700,2700,2700,2700,2800,2900,2900,2900,3000,2600,2600,2600,2600,2500,2500,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2200,2000,2000,2000,2000,2000,2000,2000,2000,1900,1900,1900,1700,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1200,1200,1200,1200,1200,1300,1300,1400,1400,1400,1400,1400,1600,1600,1800,1700,1500,1500,1500,1500,1500,1500,1600,1700,1700,1800,1800,1800,1800,1800,1800,1600,1600,1600,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1800,1700,1900,1800,1700,1500,1300,1500,1500,1700,1700,1800,2000,1800,2000,1800,1600,1800,2000,1800,1700,1800,1800,2000,2200,2000,2300,2400,2200,2100,2000,2000,2200,2200,2300,2100,2100,2100,2400,2700,2700,2900,3100,2900,2900,3500,3100,3000,3200,3200,3200,3500,3500,3700,3700,3400,3400,3400,3100,3100,3100,3400,3200,3000,2700,2700,2700,3000,3000,3000,2600,2400,2400,2200,2100,2100,2100,2100,2100,2100,2100,2100,2100,2200,2200,2100,2100,2000,2100,2100,2300,2300,2300,2300,2200,2200,2200,2200,2200,2200,2200,2200,2000,2000,2000,1800,1800,1800,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1800,2000,2000,2000
