구분,01/02,01/03,01/04,01/05,01/06,01/09,01/10,01/11,01/12,01/13,01/16,01/17,01/18,01/19,01/20,01/25,01/26,01/27,01/30,01/31,02/01,02/02,02/03,02/06,02/07,02/08,02/09,02/10,02/13,02/14,02/15,02/16,02/17,02/20,02/21,02/22,02/23,02/24,02/27,02/28,02/29,03/02,03/05,03/06,03/07,03/08,03/09,03/12,03/13,03/14,03/15,03/16,03/19,03/20,03/21,03/22,03/23,03/26,03/27,03/28,03/29,03/30,04/02,04/03,04/04,04/05,04/06,04/09,04/10,04/12,04/13,04/16,04/17,04/18,04/19,04/20,04/23,04/24,04/25,04/26,04/27,04/30,05/02,05/03,05/04,05/07,05/08,05/09,05/10,05/11,05/14,05/15,05/16,05/17,05/18,05/21,05/22,05/23,05/24,05/25,05/29,05/30,05/31,06/01,06/04,06/05,06/07,06/08,06/11,06/12,06/13,06/14,06/15,06/18,06/19,06/20,06/21,06/22,06/25,06/26,06/27,06/28,06/29,07/02,07/03,07/04,07/05,07/06,07/09,07/10,07/11,07/12,07/13,07/16,07/17,07/18,07/19,07/20,07/23,07/24,07/25,07/26,07/27,07/30,07/31,08/01,08/02,08/03,08/06,08/07,08/08,08/09,08/10,08/13,08/14,08/16,08/17,08/20,08/21,08/22,08/23,08/24,08/27,08/28,08/29,08/30,08/31,09/03,09/04,09/05,09/06,09/07,09/10,09/11,09/12,09/13,09/14,09/17,09/18,09/19,09/20,09/21,09/24,09/25,09/26,09/27,09/28,10/02,10/04,10/05,10/08,10/09,10/10,10/11,10/12,10/15,10/16,10/17,10/18,10/19,10/22,10/23,10/24,10/25,10/26,10/29,10/30,10/31,11/01,11/02,11/05,11/06,11/07,11/08,11/09,11/12,11/13,11/14,11/15,11/16,11/19,11/20,11/21,11/22,11/23,11/26,11/27,11/28,11/29,11/30,12/03,12/04,12/05,12/06,12/07,12/10,12/11,12/12,12/13,12/14,12/17,12/18,12/20,12/21,12/24,12/26,12/27,12/28,12/31
평균,1000,980,1100,1180,1180,1120,1120,1120,1120,1120,1120,1020,1000,1040,1060,1060,1180,1340,1400,1500,1500,1500,1470,1470,1480,1660,1660,1700,1740,1720,1720,1760,1660,1660,1600,1600,1580,1580,1540,1500,1500,1580,1680,1720,1740,1720,1740,1740,1740,1720,1720,1680,1700,1720,1720,1660,1580,1580,1480,1620,1580,1540,1400,1400,1360,1380,1400,1380,1380,1400,1420,1420,1380,1380,1380,1380,1380,1380,1440,1440,1440,1460,1420,1420,1420,1440,1540,1700,1740,1780,1740,1760,1740,1700,1680,1680,1680,1740,1740,1740,1780,1780,1860,1940,2100,2100,2040,2040,2080,2080,2040,2040,2040,2040,2040,2040,2040,2040,2180,2340,2340,2380,2380,2380,2300,2160,2100,2100,2100,1960,1880,1880,1880,2000,1900,1900,1860,1860,1860,1880,1880,1720,1600,1700,1700,1700,1700,1700,1840,1900,2120,2120,2120,2320,2320,2380,2540,2540,2500,2440,2440,2400,2460,2660,3080,3200,3140,3060,3100,3020,2980,2980,2980,3020,3020,3100,3100,3100,3160,3160,3160,3120,3120,2880,2880,2940,3040,3040,3040,3140,2940,2800,2440,2300,2320,2520,2360,2400,2400,2400,2400,2440,2440,2400,2400,2400,2360,2360,2280,2280,2220,2180,2340,2360,2360,2360,2360,2360,2260,2320,2200,2220,2120,2120,2120,2120,2120,2100,2110,2020,2020,2020,2020,2180,2380,2380,2380,2460,2500,2500,2380,2380,2380,2380,2380,2340,2300,2300,2380
평년,1447,1462,1455,1449,1449,1392,1379,1369,1373,1378,1378,1384,1398,1403,1409,1458,1449,1442,1406,1399,1399,1389,1383,1416,1417,1430,1452,1470,1488,1480,1472,1484,1499,1495,1499,1496,1475,1449,1473,1495,1884,1532,1635,1659,1669,1677,1683,1676,1658,1647,1633,1607,1471,1440,1422,1409,1404,1342,1329,1306,1296,1298,1327,1322,1306,1293,1290,1240,1237,1196,1183,1109,1102,1101,1090,1091,1105,1099,1091,1077,1068,1023,1031,1026,1026,1070,1093,1101,1104,1114,1107,1106,1095,1084,1070,1079,1086,1088,1082,1092,1116,1116,1119,1128,1171,1179,1179,1181,1179,1175,1162,1148,1129,1105,1103,1101,1119,1144,1194,1190,1175,1158,1136,1104,1096,1094,1093,1102,1147,1149,1167,1192,1212,1213,1212,1204,1184,1157,1133,1129,1130,1138,1151,1156,1161,1167,1172,1185,1200,1232,1264,1291,1317,1389,1380,1389,1387,1353,1357,1367,1374,1388,1429,1439,1453,1479,1503,1552,1584,1633,1665,1700,1764,1764,1754,1746,1739,1701,1690,1686,1661,1652,1575,1568,1558,1571,1603,1683,1687,1685,1656,1658,1660,1666,1673,1661,1660,1654,1663,1657,1646,1642,1639,1623,1603,1561,1548,1528,1510,1506,1540,1527,1513,1510,1496,1481,1483,1483,1475,1476,1500,1513,1533,1541,1542,1512,1485,1456,1442,1440,1457,1483,1513,1523,1515,1476,1455,1432,1419,1411,1404,1392,1389,1380,1379,1375,1389,1404,1440
서울,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1400,1400,1600,1800,1800,1800,1800,1800,1800,1700,1700,1700,1700,1700,1700,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1700,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2000,1800,1600,1500,1500,1300,1300,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1800,1600,1600,1600,1600,1600,1800,1800,2000,2000,2000,2000,1800,1700,1700,1700,1700,1700,1700,1700,1700,1900,2100,2300,2300,2000,2000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2400,2600,2600,2600,2600,2600,2400,2200,2200,2200,2200,1800,1800,1800,1800,2200,1800,1800,1800,1800,1800,1800,1800,1600,1400,1800,1800,1800,1800,1800,2100,2100,2300,2300,2300,2300,2300,2500,2600,2600,2600,2500,2500,2300,2300,2400,2600,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,3000,3000,3000,3000,3000,3000,3000,3000,3500,3500,3500,3500,3000,3000,2000,2000,2000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2400,2800,2800,2800,2800,2800,2800,2500,2800,2400,2500,2300,2300,2300,2300,2300,2200,2500,2500,2500,2500,2500,3000,3500,3000,3000,3000,3000,3000,2500,2500,2500,2500,2500,2500,2300,2300,2300
부산,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,1000,1000,1300,1300,1400,1400,1400,1400,1400,1400,1600,1600,1600,1700,1700,1700,1700,1600,1600,1600,1600,1600,1600,1600,1500,1500,1500,1600,1700,1700,1700,1700,1700,1700,1700,1700,1600,1700,1700,1700,1600,1500,1500,1400,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1500,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1700,1700,1700,1700,1700,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2200,2200,2200,2200,2200,2200,2100,2100,2100,2100,2000,2000,2000,2000,2000,1900,1900,1900,1900,1900,1900,1900,1800,1600,1600,1600,1600,1600,1600,1800,1800,2000,2000,2000,2200,2200,2300,2400,2400,2400,2400,2400,2400,2400,2500,2900,2900,2900,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2800,2800,2800,2800,2800,2800,2800,2800,2800,2600,2400,2400,2400,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2200,2400,2400,2400,2400,2400,2400,2200,2200,2200,2200,2100,2100,2100,2100,2100,2100,2100,2000,2000,2000,2000,2000,2100,2300,2300,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
대구,900,900,1000,1100,1100,1100,1100,1100,1100,1100,1100,900,900,1000,1000,1000,1200,1200,1200,1400,1400,1400,1400,1400,1400,1400,1400,1600,1600,1600,1600,1600,1600,1600,1600,1600,1500,1500,1500,1400,1400,1600,1800,1800,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1400,1600,1600,1600,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1400,1400,1400,1300,1300,1300,1300,1300,1500,1700,1700,1700,1500,1500,1500,1500,1500,1500,1500,1700,1700,1700,1900,1900,1900,2000,2000,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2000,2200,2200,2200,2200,2200,2200,2000,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1600,1600,1500,1500,1500,1500,1500,1700,1700,2000,2000,2000,2400,2400,2400,2600,2600,2400,2200,2200,2200,2400,2600,2900,2900,2900,3100,3100,2900,2900,2900,2900,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,2900,2900,2900,2900,2900,2900,2900,2900,2900,2600,2600,2400,2400,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,1800,1800,2000,2200,2400,2400,2400,2400,2400,2200,2200,2200,2200,2200,2200,2200,2200,2400
광주,800,800,900,900,900,900,1000,1000,1000,1000,1000,800,800,900,900,900,900,1000,1200,1400,1400,1400,1400,1500,1500,1700,1700,1700,1700,1700,1700,1700,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1500,1500,1400,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1500,1600,1600,1600,1600,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1800,1800,2000,2000,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2400,2400,2400,2400,2400,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1800,1800,2100,2100,2100,2100,2100,2100,2500,2500,2500,2500,2500,2500,2500,2500,3000,3000,2700,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3000,3000,3000,3000,3000,3000,3000,3000,2700,2700,2500,2500,2800,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2100,2100,2100,2100,2100,2100,2100,1900,1900,1900,1900,1900,1900,2000,2000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
대전,1000,900,1200,1500,1500,1200,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,1200,1400,1500,1500,1500,1500,1350,1350,1400,1900,1900,1900,2000,2000,2000,2200,2000,2000,1700,1700,1700,1700,1500,1500,1500,1700,1900,1900,1900,1800,1800,1800,1800,1700,1700,1600,1600,1700,1700,1500,1400,1400,1300,1500,1500,1500,1400,1400,1400,1500,1500,1400,1400,1500,1500,1500,1300,1300,1300,1300,1300,1300,1500,1500,1500,1400,1400,1400,1400,1500,1600,1800,2000,2000,2000,2000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2000,2200,2200,2000,2000,2200,2200,2000,2000,2000,2000,2000,2000,2000,2000,2200,2500,2500,2500,2500,2500,2300,2100,2000,2000,2000,2000,1800,1800,1800,2000,2000,2000,1800,1800,1800,1900,1900,1800,1600,1800,1800,1800,1800,1800,1800,2100,2200,2200,2200,2600,2600,2600,2600,2600,2600,2600,2600,2600,2700,3300,4000,4500,4500,3300,3500,3300,3100,3100,3100,3100,3100,3500,3500,3500,3500,3500,3500,3300,3300,2700,2700,3000,3000,3000,3000,3500,3000,2600,2300,2000,2300,2500,2300,2500,2500,2500,2500,2700,2700,2500,2500,2500,2300,2300,2300,2300,2000,2000,2200,2300,2300,2300,2300,2300,2300,2300,2100,2100,2100,2100,2100,2100,2100,2100,2050,1900,1900,1900,1900,2000,2200,2200,2200,2200,2400,2400,2500,2500,2500,2500,2500,2300,2300,2300,2500
