구분,01/02,01/03,01/04,01/07,01/08,01/09,01/10,01/11,01/14,01/15,01/16,01/17,01/18,01/21,01/22,01/23,01/24,01/25,01/28,01/29,01/30,01/31,02/01,02/04,02/05,02/06,02/07,02/08,02/12,02/13,02/14,02/15,02/18,02/19,02/20,02/21,02/22,02/25,02/26,02/27,02/28,03/04,03/05,03/06,03/07,03/08,03/11,03/12,03/13,03/14,03/15,03/18,03/19,03/20,03/21,03/22,03/25,03/26,03/27,03/28,03/29,04/01,04/02,04/03,04/04,04/05,04/08,04/09,04/10,04/11,04/12,04/15,04/16,04/17,04/18,04/19,04/22,04/23,04/24,04/25,04/26,04/29,04/30,05/02,05/03,05/06,05/07,05/08,05/09,05/10,05/13,05/14,05/15,05/16,05/20,05/21,05/22,05/23,05/24,05/27,05/28,05/29,05/30,05/31,06/03,06/04,06/05,06/07,06/10,06/11,06/12,06/13,06/14,06/17,06/18,06/19,06/20,06/21,06/24,06/25,06/26,06/27,06/28,07/01,07/02,07/03,07/04,07/05,07/08,07/09,07/10,07/11,07/12,07/15,07/16,07/17,07/18,07/19,07/22,07/23,07/24,07/25,07/26,07/29,07/30,07/31,08/01,08/02,08/05,08/06,08/07,08/08,08/09,08/12,08/13,08/14,08/16,08/19,08/20,08/21,08/22,08/23,08/26,08/27,08/28,08/29,08/30,09/02,09/03,09/04,09/05,09/06,09/09,09/10,09/11,09/12,09/13,09/16,09/17,09/23,09/24,09/25,09/26,09/27,09/30,10/01,10/02,10/04,10/07,10/08,10/10,10/11,10/14,10/15,10/16,10/17,10/18,10/21,10/22,10/23,10/24,10/25,10/28,10/29,10/30,10/31,11/01,11/04,11/05,11/06,11/07,11/08,11/11,11/12,11/13,11/14,11/15,11/18,11/19,11/20,11/21,11/22,11/25,11/26,11/27,11/28,11/29,12/02,12/03,12/04,12/05,12/06,12/09,12/10,12/11,12/12,12/13,12/16,12/17,12/18,12/19,12/20,12/23,12/24,12/26,12/27,12/30,12/31
평균,2480,2380,2480,2460,2500,2540,2520,2420,2400,2200,2200,2200,2080,2120,2120,2020,1980,1920,1920,1960,1980,2040,2020,2060,2140,2240,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2140,1980,2020,2140,2140,2220,2280,2400,2260,2240,2180,2140,2140,2140,2200,2260,2320,2220,2140,2160,2140,2160,2200,2140,2180,2180,2200,2120,2080,2120,2220,2240,2280,2300,2320,2220,2260,2260,2220,2200,2220,2240,2320,2260,2300,2240,2240,2200,2160,2200,2200,2180,2160,2160,2140,2040,2000,1920,1900,1940,1800,1760,1780,1820,1960,1920,1920,1880,1840,1740,1640,1560,1460,1420,1460,1480,1520,1440,1380,1400,1280,1220,1180,1160,1200,1200,1200,1200,1340,1340,1320,1400,1360,1340,1160,1080,1100,1360,1360,1340,1380,1280,1260,1300,1280,1360,1400,1340,1340,1320,1240,1220,1400,1400,1400,1380,1380,1400,1380,1380,1380,1360,1380,1380,1500,1460,1360,1360,1360,1460,1440,1500,1440,1480,1520,1520,1520,1540,1540,1520,1460,1640,1740,1880,1800,1920,2110,2090,1830,1760,1620,1560,1410,1410,1460,1460,1480,1410,1390,1390,1370,1370,1370,1370,1370,1370,1330,1330,1330,1330,1330,1400,1380,1380,1380,1380,1360,1360,1360,1440,1540,1600,1560,1520,1560,1500,1520,1500,1480,1500,1460,1500,1540,1520,1520,1520,1500,1480,1460,1460,1460,1440,1440,1440,1290,1290,1290,1290,1290,1290,1270,1270
평년,1474,1497,1500,1502,1482,1453,1432,1417,1416,1416,1409,1409,1420,1444,1453,1466,1470,1473,1506,1498,1498,1520,1529,1544,1569,1592,1603,1631,1736,1736,1734,1724,1730,1728,1721,1713,1705,1631,1650,1657,1678,1811,1855,1894,1915,1927,1934,1932,1918,1905,1889,1794,1753,1721,1703,1681,1593,1569,1547,1522,1499,1499,1503,1485,1460,1446,1400,1391,1386,1367,1353,1294,1261,1247,1249,1240,1250,1254,1255,1251,1246,1208,1205,1207,1203,1216,1246,1283,1312,1331,1360,1355,1350,1337,1308,1324,1332,1338,1341,1371,1379,1393,1405,1430,1505,1521,1541,1548,1552,1547,1545,1530,1515,1465,1459,1453,1450,1463,1539,1562,1569,1566,1553,1498,1485,1475,1473,1472,1500,1503,1494,1499,1515,1540,1540,1542,1537,1517,1444,1425,1406,1409,1409,1429,1429,1434,1436,1430,1425,1431,1447,1463,1491,1595,1628,1623,1635,1643,1643,1649,1657,1682,1755,1787,1782,1780,1801,1975,2016,2035,2052,2078,2167,2186,2200,2213,2221,2214,2207,2051,2011,1989,1973,1961,2005,2019,2033,2033,1979,1934,1811,1770,1704,1696,1697,1696,1687,1669,1671,1671,1671,1670,1640,1632,1630,1622,1603,1633,1647,1647,1651,1669,1663,1675,1676,1679,1668,1669,1657,1648,1639,1636,1621,1613,1605,1589,1570,1534,1533,1526,1537,1556,1562,1563,1572,1575,1577,1575,1581,1585,1585,1588,1598,1603,1599,1600,1624,1629
서울,2300,2200,2700,2500,2500,2500,2500,2400,2400,2400,2400,2400,2000,2200,2200,2000,1800,1800,1800,1800,1900,1900,1800,2000,2200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2300,2000,2200,2400,2400,2700,2700,2800,2600,2800,2500,2300,2300,2300,2600,2500,2600,2300,2300,2300,2200,2300,2500,2200,2300,2200,2200,2300,2300,2300,2300,2400,2600,2400,2300,2300,2400,2400,2400,2300,2400,2400,2700,2300,2500,2300,2300,2200,2200,2400,2400,2300,2200,2200,2100,2000,1800,1600,1500,1700,1500,1400,1500,1700,2000,1800,1800,1600,1600,1500,1500,1500,1500,1300,1300,1400,1400,1400,1400,1500,1300,1100,1000,1000,900,900,900,1200,1500,1500,1400,1500,1400,1300,1000,900,1000,1700,1700,1600,1600,1600,1500,1700,1600,1800,1600,1600,1600,1500,1400,1300,1600,1600,1600,1500,1500,1800,1700,1700,1700,1600,1500,1500,1600,1400,1300,1300,1300,1500,1400,1600,1400,1500,1400,1400,1400,1500,1500,1400,1300,2000,2300,2000,1600,1800,2000,2000,1800,1600,1600,1600,1400,1400,1400,1400,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1500,1400,1400,1400,1400,1300,1300,1300,1700,1900,2200,2000,1800,2000,1700,1800,1700,1600,1600,1400,1600,1800,1700,1700,1700,1600,1500,1400,1400,1400,1300,1300,1300,1300,1300,1300,1300,1300,1300,1200,1200
부산,2400,2500,2500,2500,2500,2500,2500,2300,2200,2100,2100,2100,2100,2100,2100,2100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2200,2200,2200,2200,2000,2000,2000,2200,2200,2300,2300,2300,2200,2200,2200,2200,2200,2200,2200,2200,2400,2300,2100,2100,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2300,2300,2300,2300,2300,2300,2400,2400,2400,2300,2300,2200,2200,2200,2200,2200,2200,2200,2200,2000,2000,2000,2000,2000,1900,1800,1800,1800,2000,2000,2000,2000,1800,1700,1700,1700,1600,1600,1600,1600,1600,1500,1400,1400,1300,1200,1200,1200,1200,1200,1200,1200,1400,1400,1400,1500,1400,1400,1200,1100,1100,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1500,1500,1400,1400,1400,1500,1500,1600,1500,1500,1500,1500,1500,1500,1500,1500,1400,1600,1600,1800,1800,1800,2000,2000,1800,1600,1600,1600,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1300,1300,1300,1300,1300,1300,1300,1300
대구,2400,2400,2400,2400,2400,2400,2400,2200,2200,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,2000,2000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2100,1900,1900,1900,1900,1900,2200,2200,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2300,2300,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2300,2300,2300,2300,2300,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,1900,1900,1900,1900,2000,2000,2000,2000,2000,1700,1700,1600,1400,1400,1600,1600,1600,1300,1300,1300,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1300,1300,1300,1100,1100,1100,1300,1300,1300,1300,1100,1100,1100,1100,1100,1300,1300,1300,1300,1100,1100,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1500,1500,1500,1500,1300,1300,1300,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600,1600,1800,1800,1800,2000,2000,2000,1800,1600,1600,1600,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1300,1300,1300,1300,1300,1300,1300,1300
광주,2300,2300,2300,2300,2500,2500,2500,2500,2500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1000,1000,1000,1000,1000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1800,1800,2000,2250,2250,1750,1500,1500,1500,1250,1250,1500,1500,1500,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1250,1250,1250,1250,1250,1250,1250,1250
대전,3000,2500,2500,2600,2600,2800,2700,2700,2700,2500,2500,2500,2500,2500,2500,2200,2300,2000,2000,2200,2200,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2300,2300,2300,2300,2300,2000,2000,2200,2200,2200,2200,2700,2500,2200,2200,2200,2200,2200,2200,2600,2600,2500,2300,2200,2200,2200,2200,2200,2200,2500,2500,2000,2000,2000,2500,2500,2500,2800,3000,2500,2500,2500,2300,2300,2300,2400,2400,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2100,2100,2100,1900,1900,1900,1900,2000,2000,2000,2000,2000,2000,1500,1500,1300,1300,1300,1300,1500,1500,1300,1300,1200,1200,1100,1000,1300,1300,1300,1200,1400,1400,1400,1400,1400,1400,1200,1000,1000,1200,1200,1200,1400,1100,1100,1100,1100,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1300,1300,1300,1300,1300,1300,1300,1600,1600,1500,1500,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600,1500,1500,1500,2000,2000,2000,2300,2200,2000,2500,1800,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1300,1300,1300,1300,1300,1300,1300,1300
