구분,01/04,01/05,01/06,01/07,01/08,01/11,01/12,01/13,01/14,01/15,01/18,01/19,01/20,01/21,01/22,01/25,01/26,01/27,01/28,01/29,02/01,02/02,02/03,02/04,02/05,02/08,02/09,02/10,02/11,02/12,02/16,02/17,02/18,02/19,02/22,02/23,02/24,02/25,02/26,03/02,03/03,03/04,03/05,03/08,03/09,03/10,03/11,03/12,03/15,03/16,03/17,03/18,03/19,03/22,03/23,03/24,03/25,03/26,03/29,03/30,03/31,04/01,04/02,04/05,04/06,04/07,04/08,04/09,04/12,04/13,04/14,04/15,04/16,04/19,04/20,04/21,04/22,04/23,04/26,04/27,04/28,04/29,04/30,05/03,05/04,05/06,05/07,05/10,05/11,05/12,05/13,05/14,05/17,05/18,05/19,05/20,05/24,05/25,05/26,05/27,05/28,05/31,06/01,06/03,06/04,06/07,06/08,06/09,06/10,06/11,06/14,06/15,06/16,06/17,06/18,06/21,06/22,06/23,06/24,06/25,06/28,06/29,06/30,07/01,07/02,07/05,07/06,07/07,07/08,07/09,07/12,07/13,07/14,07/15,07/16,07/19,07/20,07/21,07/22,07/23,07/26,07/27,07/28,07/29,07/30,08/02,08/03,08/04,08/05,08/06,08/09,08/10,08/11,08/12,08/13,08/16,08/17,08/18,08/19,08/20,08/23,08/24,08/25,08/26,08/27,08/30,08/31,09/01,09/02,09/03,09/06,09/07,09/08,09/09,09/10,09/13,09/14,09/15,09/16,09/17,09/20,09/24,09/27,09/28,09/29,09/30,10/01,10/04,10/05,10/06,10/07,10/08,10/11,10/12,10/13,10/14,10/15,10/18,10/19,10/20,10/21,10/22,10/25,10/26,10/27,10/28,10/29,11/01,11/02,11/03,11/04,11/05,11/08,11/09,11/10,11/11,11/12,11/15,11/16,11/17,11/18,11/19,11/22,11/23,11/24,11/25,11/26,11/29,11/30,12/01,12/02,12/03,12/06,12/07,12/08,12/09,12/10,12/13,12/14,12/15,12/16,12/17,12/20,12/21,12/22,12/23,12/24,12/27,12/28,12/29,12/30,12/31
평균,1520,1520,1520,1480,1500,1540,1560,1560,1580,1540,1540,1540,1520,1520,1520,1500,1480,1480,1480,1420,1420,1420,1440,1460,1460,1580,1760,1760,1820,1780,1740,2000,2060,2020,1880,1680,1660,1660,1560,1660,1740,1900,1900,1940,1900,1960,2000,1920,1820,1840,1740,1640,1620,1540,1520,1460,1480,1400,1420,1400,1420,1490,1530,1570,1730,1660,1700,1560,1640,1640,1640,1680,1640,1700,2080,2060,2060,1960,2080,2140,2140,2040,2100,2000,1980,1960,1940,2080,2160,2120,2200,2220,2220,2120,2080,2000,2080,2240,2240,2280,2220,2280,2200,2120,2080,2160,2140,2080,2080,2080,2120,2120,2080,2040,2040,2040,2040,2040,2000,1960,2160,2100,1980,1940,1940,2000,2040,2020,2000,1960,2120,1960,1960,1960,1960,1880,1860,1700,1580,1540,1580,1600,1580,1660,1700,1700,1660,1520,1580,1460,1480,1560,1700,1700,1680,1880,1980,2020,2040,2020,2020,2040,2280,2100,2120,2320,2440,2620,2840,2980,3240,3340,3380,3400,3520,3680,3920,4080,4180,4220,4460,4460,5160,4980,4640,4400,4120,4020,4000,3760,3500,3320,3180,2880,2880,2720,2660,2780,2920,2980,3020,2940,2960,2820,2980,2800,2780,2680,2780,2820,2780,2700,2740,2780,2940,3000,3000,2940,2860,2820,2820,2820,2600,2600,2540,2700,2680,2640,2700,2700,2560,2480,2480,2460,2440,2420,2420,2280,2280,2280,2280,2320,2380,2380,2360,2340,2340,2580,2580,2580,2580,2900
평년,1140,1137,1136,1133,1133,1113,1110,1114,1114,1117,1136,1142,1148,1170,1184,1196,1190,1193,1191,1185,1168,1167,1171,1175,1175,1171,1166,1162,1158,1151,1144,1151,1149,1154,1164,1166,1162,1172,1180,1214,1223,1237,1247,1289,1291,1301,1306,1296,1273,1268,1247,1215,1187,1138,1138,1127,1105,1091,1041,1037,1033,1029,1014,981,985,975,954,945,910,914,908,900,888,876,879,893,892,900,881,882,868,864,871,903,913,925,952,980,990,998,997,993,979,978,981,987,995,998,998,1003,1005,1022,1034,1046,1056,1037,1026,1005,998,992,968,969,960,950,945,924,904,904,910,907,887,885,885,882,880,863,862,868,877,885,941,988,1034,1048,1039,1059,1062,1051,1043,1055,1026,1039,1044,1050,1054,1057,1079,1088,1088,1095,1184,1187,1185,1194,1200,1195,1197,1201,1211,1224,1251,1265,1275,1274,1279,1320,1323,1324,1315,1324,1380,1391,1394,1401,1402,1401,1421,1442,1463,1452,1459,1445,1387,1359,1369,1390,1404,1432,1441,1445,1429,1426,1406,1383,1361,1355,1351,1337,1340,1338,1339,1341,1326,1313,1293,1281,1274,1264,1271,1283,1298,1306,1304,1296,1272,1257,1265,1281,1283,1298,1312,1324,1353,1351,1343,1331,1320,1268,1279,1273,1277,1283,1299,1320,1321,1323,1335,1313,1313,1321,1331,1329,1340,1343,1342,1346,1349,1345,1328,1323,1330,1334
서울,1500,1500,1700,1500,1600,1500,1600,1600,1700,1500,1500,1500,1400,1400,1500,1400,1300,1300,1300,1300,1300,1400,1500,1600,1600,1700,1700,1700,2200,2000,1800,3000,2700,2500,2000,1800,1700,1500,1700,1800,1900,2500,2200,2400,2400,2500,2600,2200,1700,1700,1600,1500,1500,1500,1500,1400,1400,1400,1500,1400,1500,1500,1500,1600,2200,2000,2100,1600,1700,1600,1500,1800,1900,2200,2800,2300,2300,2000,2400,2600,2600,2200,2500,2000,2200,2200,2200,2200,2200,2000,2000,1900,2200,2200,2200,2000,2200,2200,2000,2200,1900,2200,2000,2100,2200,2300,2300,2000,2000,2000,2200,2400,2200,2000,2000,2000,1800,1800,1800,1900,2200,2000,2000,1800,1800,1800,1800,1800,1700,1700,1700,1800,1800,1800,1800,1800,1800,1500,1200,1200,1600,1700,1600,1800,1600,1600,1600,1400,1700,1500,1500,1700,2000,1700,1600,1800,1800,2000,2000,1900,2000,2100,2200,2000,2100,2400,2200,2300,2800,3200,3200,3400,3300,3500,3700,3700,3700,4200,4000,4200,4800,4800,5400,4500,4300,4000,4000,4200,4200,4000,3500,3800,4000,3500,3500,3300,3000,3300,3300,3000,3200,3200,3400,3200,3400,3000,3200,3000,3200,3000,3000,3000,3200,3400,3400,3300,3400,3200,3200,3000,3000,3000,2600,2600,2400,2500,2400,2400,2600,2600,2400,2400,2400,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2400,2500,2500,2700,2700,2700,2500,2800
부산,1400,1400,1400,1400,1400,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1500,1500,1500,1500,1500,1500,1700,2000,2000,1800,1800,1800,1800,1800,1800,1800,1600,1600,1800,1500,1800,1800,1800,1800,1800,1800,1800,1800,1900,1900,2000,2000,1700,1700,1400,1400,1400,1400,1400,1400,1400,1400,1500,1500,1500,1600,1500,1500,1500,1600,1600,1600,1600,1500,1500,1700,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,1800,1700,1700,1900,1900,2000,2000,2000,2000,2000,2000,2000,2200,2200,2200,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2200,2200,2000,2000,2000,2100,2100,2100,2100,2100,2200,2000,2000,2000,2000,2000,1900,1700,1700,1600,1600,1600,1600,1700,1700,1700,1500,1400,1500,1400,1400,1400,1400,1700,1700,1800,1900,1900,2000,2000,2000,2000,2300,2100,2100,2200,2200,2400,2600,2700,3000,3200,3200,3200,3200,3400,3700,3700,3900,4000,4000,4000,4400,4400,4200,4200,4200,3800,3800,3600,3400,3200,3000,2800,2800,2600,2600,2600,2800,2800,2800,2800,2800,2800,2900,2700,2700,2700,2800,2800,2800,2700,2700,2700,2700,2800,2800,2800,2800,2800,2800,2800,2600,2600,2500,2600,2600,2500,2600,2600,2600,2600,2600,2600,2500,2500,2500,2300,2300,2300,2300,2300,2400,2400,2400,2400,2400,2600,2600,2600,2500,2800
대구,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1600,1700,1700,1700,1700,1700,1800,2000,2000,2000,1800,1800,1800,1800,1700,1800,1800,1800,1800,1800,1800,1900,1800,1800,1800,1800,1700,1600,1500,1500,1500,1500,1300,1300,1300,1300,1500,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1500,1500,1800,2200,2200,2000,2000,2000,2000,2000,2000,2000,1700,1700,1700,2100,2300,2300,2300,2500,2500,2200,2200,2000,2000,2300,2300,2300,2300,2300,2300,2100,2100,2100,2100,2100,2100,2100,2100,2000,2000,2000,2000,2000,2200,2200,2200,2000,2200,2200,2000,2000,2000,2000,2200,2200,2200,2000,2200,2000,2000,2000,2000,1600,1600,1300,1300,1300,1300,1300,1300,1300,1500,1500,1500,1500,1500,1400,1400,1600,1600,1600,1600,1900,2100,2100,2100,2100,2000,2000,2200,2000,2000,2200,2200,2600,3000,3000,3300,3300,3300,3300,3700,3700,4000,4000,4300,4300,4300,4300,4600,4600,4300,4300,3900,3900,3900,3600,3600,3300,3000,2600,2600,2400,2400,2400,2600,2800,2800,2800,3300,2800,2800,2800,2800,2500,2500,2700,2500,2500,2500,2500,2800,3100,3100,3100,2700,2700,2700,2700,2500,2300,2300,2600,2600,2200,2200,2200,2200,2200,2200,2000,2000,2000,2000,2000,2000,2000,2000,2000,2200,2200,2200,2000,2000,2400,2400,2400,2400,2800
광주,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1600,1600,1600,1600,1600,1600,1800,1800,1800,1600,1600,1600,1400,1500,1500,1700,1800,1800,1800,1800,1800,1800,1800,1800,1600,1600,1600,1600,1500,1300,1400,1200,1200,1200,1200,1200,1300,1300,1400,1400,1500,1300,1500,1600,1600,1600,1500,1500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2200,2200,2200,2500,2500,2500,2200,2000,2000,2000,2200,2300,2300,2300,2300,2300,2100,2100,2100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2200,2000,2000,2000,2000,2000,2000,2000,1800,1800,1700,1700,1700,1700,1700,1700,1700,1500,1500,1300,1400,1400,1600,1600,1600,1800,1800,1800,1800,1800,1800,1800,2200,2200,2200,2200,2800,2800,2800,2800,3300,3300,3500,3500,3500,3600,4200,4200,4200,4400,4400,4400,5400,5400,5400,4800,4000,4000,4000,3800,3500,3200,3000,2800,2800,2800,2600,2600,2600,3000,3000,3000,2800,2800,2800,2700,2700,2700,2900,2900,2900,2600,2600,2600,2900,2900,2800,2800,2800,2800,2800,2800,2500,2500,2500,3000,3000,3000,3000,3000,2800,2600,2600,2600,2600,2600,2600,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2500,2500,2500,2500,2800
대전,1700,1700,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1400,1400,1400,1500,1800,1800,1800,1800,1800,1800,2000,2000,1800,1600,1600,1600,1400,1500,1700,1700,1900,1900,1700,1900,1900,1900,1900,1900,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1750,1750,1850,1850,1800,1800,1800,1800,1800,1900,1800,1800,1800,2100,2100,2100,2100,2300,2300,2300,2200,2200,2200,2200,2100,2100,2200,2200,2200,2200,2200,1900,2000,2000,2000,2200,2300,2400,2400,2400,2400,2200,2100,2000,2300,2300,2300,2300,2300,2300,2200,2200,2200,2200,2200,2200,2200,2000,1900,2200,2100,1900,1900,1900,2100,2100,2000,2000,2000,2300,2000,2000,2000,2000,2000,2000,2000,1900,1800,1700,1700,1700,1800,2000,2000,2000,1800,1700,1700,1700,1700,1900,1900,1900,2100,2300,2300,2300,2300,2300,2300,2500,2200,2200,2600,2800,3000,3000,3200,3400,3500,3600,3500,3500,4000,4000,4300,4500,4200,4800,4800,6000,6000,5000,4700,4500,4200,4100,3800,3500,3100,2900,2700,2700,2500,2700,3000,3300,3300,3300,2900,2500,2500,3000,2800,2500,2500,2500,2700,2700,2700,2700,2700,2900,2900,2900,2800,2800,2800,2800,2800,2800,3000,3000,2800,2800,3100,3100,3100,2800,2600,2600,2600,2600,2500,2500,2300,2300,2300,2300,2500,2500,2500,2500,2500,2500,2700,2700,2700,3000,3300
